Agency,"Agency
Address",Contract description/name,Award contract date,"Contract Value
(incl GST)",SupplierName,Supplier Address,"Variation to Contract
(Yes/No)","Specific confidentiality provision used
(in contract)",Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commencement Date,Finish date,Supplier ABN
DoH_PD,33 Charlotte Street,Standby Jet for COVID-19 ,2020-08-31T00:00:00,"986,961.36",ASPEN MEDICAL PTY LTD,PO Box 231  Deakin West ACT 2600 ,No,,Limited,,,,,,,,General Goods & Services,,2020-10-01T00:00:00,2020-12-31T00:00:00,32105250413
DoH_PD,33 Charlotte Street,Research services agreement - education intervention in rural and remote Qld,2020-09-04T00:00:00,"127,615.00",Central Queensland University,BRUCE HIGHWAY ROCKHAMPTON QLD 4702,No,Yes,,,,,,,,PD107117,General Goods & Services,,2020-09-04T00:00:00,2021-08-30T00:00:00,66329169412
DoH_PD,33 Charlotte Street,Standby Jet for COVID-19 ,2020-09-11T00:00:00,"875,593.66",Lifeflight Australia Limited,PO Box 15166  CITY EAST QLD 4002 ,No,,Limited,,,,,,,,General Goods & Services,,2020-10-01T00:00:00,2020-12-31T00:00:00,32105250413
DoH_PD,33 Charlotte Street,Torres Strait and Northern Peninsula Helicopter Services,2020-09-17T00:00:00,"15,164,746.66",BABCOCK MISSION CRITICAL SERVICES AUSTRALASIA PTY LTD,"GPO Box 1275, ADELAIDE  SA  5001",Yes,,Limited,Deed of Variation,N/A,N/A,The provider must provide aircraft or backup aircraft available for tasking 24 hours a day seven days a week using personnel trained in accordance with training requirements set out in the Queensland Health Aeromedical Aviation Standard.,N/A,Managed through contract meetings and Key Performance Indicators ,PD75749,General Goods & Services,,2020-09-17T00:00:00,2024-06-30T00:00:00,50011075460
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-01-01T00:00:00,"57,195.00",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,,,,,,,,,PD106405-8,General Goods & Services,GGS0060,2021-01-01T00:00:00,2021-06-30T00:00:00,21002888762
DoH_PD,33 Charlotte Street,Economic Modelling evaluation - Jet Air,2021-01-07T00:00:00,"28,302.67",Deloitte Touche Tohmatsu,L 25  26 RIVERSIDE CNT 123 EAGLE ST,No,,,,,,,,,PD108927,General Goods & Services,QGP0050-18,2021-01-07T00:00:00,2021-06-30T00:00:00,74490121060
DoH_PD,33 Charlotte Street,Subscription to learning programs,2021-01-24T00:00:00,"10,692.00",Health Care Training Service,PO Box 426 ALBANY CREEK QLD 4035,No,,,,,,,,,,General Goods & Services,,2021-01-24T00:00:00,2021-06-09T00:00:00,44426764393
DoH_PD,33 Charlotte Street,Incident management system and related services contract,2021-02-19T00:00:00,"208,758.00",Noggin Pty Ltd,"Level 22, 175 Liverpool Street, Sydney, NSW 2000",Yes,,,,,,,,,,General Goods & Services,,2021-02-19T00:00:00,2022-05-18T00:00:00,87116457080
DoH_PD,33 Charlotte Street,RFDS review and cost modelling project,2021-03-30T00:00:00,"141,149.80",Deloitte Touche Tohmatsu,"L 25  26 RIVERSIDE CNT 123 EAGLE ST, BRISBANE  QLD  4000",No,,,,,,,,,PD110260,General Goods & Services,,2021-03-30T00:00:00,2022-03-31T00:00:00,74490121060
DoH_PD,33 Charlotte Street,Provision of aviation subject matter advice,2021-04-20T00:00:00,"33,000.00",TECHSAFE AVIATION PTY LTD,BLDG 108.3  DA VINCI BUSINESS PARK Brisbane Airport  QLD  4009,No,,,,,,,,,PD109291,General Goods & Services,,2021-04-20T00:00:00,2022-06-30T00:00:00,24167390445
DoH_PD,33 Charlotte Street,Traditional Bases Interfacility Fixed Wing aero-medical services,2020-07-01T00:00:00,"19,248,518.22",ROYAL FLYING DOCTOR SERVICE OF AUSTRALIA QUEENSLAND SECTION ,12 CASUARINA STREET  BRISBANE AIRPORT QLD 4007 ,No,,Limited (Type 4),N/A,N/A,N/A,Provision of fixed wing pre-hospital and retrieval services.,N/A,Managed through contract meetings and Key Performance Indicators,PD80337,General Goods and Services,,2020-07-01T00:00:00,2021-06-30T00:00:00,45010316462
DoH_PD,33 Charlotte Street,Additional hours of fixed wing aero- medical services,2020-07-01T00:00:00,"10,773,047.33",ROYAL FLYING DOCTOR SERVICE OF AUSTRALIA QUEENSLAND SECTION ,12 CASUARINA STREET  BRISBANE AIRPORT QLD 4007 ,No,,Limited (Type 4),N/A,N/A,N/A,Provision of fixed wing pre-hospital and retrieval services.,N/A,Managed through contract meetings and Key Performance Indicators,PD80335,General Goods and Services,,2020-07-01T00:00:00,2021-06-30T00:00:00,45010316462
DoH_PD,33 Charlotte Street,Provision of Non Traditional MRT Hours per annum fixed wing aero-medical services ,2020-07-01T00:00:00,"26,948,389.08",ROYAL FLYING DOCTOR SERVICE OF AUSTRALIA QUEENSLAND SECTION ,12 CASUARINA STREET  BRISBANE AIRPORT QLD 4007 ,No,,Limited (Type 4),N/A,N/A,N/A,Provision of fixed wing pre-hospital and retrieval services.,N/A,Managed through contract meetings and Key Performance Indicators,PD80338,General Goods and Services,,2020-07-01T00:00:00,2021-06-30T00:00:00,45010316462
DoH_PD,33 Charlotte Street,Office Furniture,2021-04-30T00:00:00,"27,403.20",Arki Environments Pty Ltd,PO BOX 7178 EAST BRISBANE   QLD   4169,No,,,,,,,,,4301345569,General Goods & Services,,2021-04-30T00:00:00,2021-04-30T00:00:00,96616153416
DoH_PD,33 Charlotte Street,Medical Equipment,2021-05-13T00:00:00,"17,368.30",Midmed Pty Ltd,"4/62 BORTHWICK AVE, MURARRIE  QLD  4172",No,,,,,,,,,4301372188,Medical,,2021-05-13T00:00:00,2021-06-30T00:00:00,98066671743
DoH_PD,33 Charlotte Street,Defibrillator equipment,2021-05-13T00:00:00,"22,147.27",Stryker Australia Pty Ltd,"8 HERBERT ST, ST LEONARDS  NSW   2065",No,,,,,,,,,4301372227,Medical,,2021-05-13T00:00:00,2021-06-30T00:00:00,48002873850
DoH_PD,33 Charlotte Street,Medical Equipment,2021-05-13T00:00:00,"11,410.14",Laerdal Pty Ltd,"8 STAMFORD RD, OAKLEIGH   VIC  3166",No,,,,,,,,,4301372240,Medical,,2021-05-13T00:00:00,2021-06-30T00:00:00,47003817490
DoH_PD,33 Charlotte Street,Medical Equipment,2021-05-13T00:00:00,"29,826.37",Laerdal Pty Ltd,"8 STAMFORD RD, OAKLEIGH   VIC  3166",No,,,,,,,,,4301372240,Medical,,2021-05-13T00:00:00,2021-06-30T00:00:00,47003817490
DoH_PD,33 Charlotte Street,Legal Advice ,2021-05-21T00:00:00,"12,100.00",Corrs Chambers Westgarth,"L35/1, EAGLE ST, BRISBANE  QLD  4000",No,,,,,,,,,PD111484,General Goods & Services,,2021-05-21T00:00:00,2021-12-31T00:00:00,89690832091
DoH_PD,33 Charlotte Street,Long Distance and/or High Acuity Air Ambulance Services,2021-06-15T00:00:00,"826,100.00",ASPEN MEDICAL PTY LTD,PO Box 231  Deakin West ACT 2600 ,Yes,,Limited,Deed of Variation,N/A,N/A,Provision of long distance/high acuity air ambulance services,N/A,Managed through contract meetings and Key Performance Indicators,PD91801,General Goods & Services,,2021-07-01T00:00:00,2021-12-31T00:00:00,32105250413
DoH_PD,33 Charlotte Street,Insurance cover,2021-06-15T00:00:00,"151,250.00",Marsh Advantage Insurance Pty Ltd,GPO BOX 2743 BRISBANE QLD 4001,No,,,,,,,,,,General Goods & Services,,2021-06-15T00:00:00,2021-06-28T00:00:00,31081358303
DoH_PD,33 Charlotte Street,Office Furniture,2021-06-25T00:00:00,"12,439.90",Ideal Office Furniture Pty Ltd,SE 4.09  29-31 LEXINGTON DR BELLA VISTA  NSW  2153,No,,,,,,,,,4301479538,General Goods & Services,,2021-06-29T00:00:00,2021-06-30T00:00:00,45128715453
DoH_PD,33 Charlotte Street,Long Distance and/or High Acuity Air Ambulance Services,2021-06-28T00:00:00,"12,650,000.00",Lifeflight Commercial Limited,PO Box 15166  CITY EAST QLD 4002 ,Yes,,Limited,Deed of Variation,N/A,N/A,Provision of long distance/high acuity air ambulance services,N/A,Managed through contract meetings and Key Performance Indicators,PD91799,General Goods & Services,,2021-07-01T00:00:00,2022-06-30T00:00:00,45010316462
DoH_PD,33 Charlotte Street,Telephone equipment,2021-06-29T00:00:00,"20,715.75",Telrex Atd,"10 RICHARDS CT, KEILOR PARK  VIC  3042",No,,,,,,,,,4301479133,General Goods & Services,,2021-06-29T00:00:00,2021-06-30T00:00:00,79097048283
DoH_PD,33 Charlotte Street,Temporary Contractor ,,-383.86,HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,,,,,,,,,,PD82774-40,General Goods & Services,PTD0007-14,,2020-09-25T00:00:00,21002888762
DoH_PD,33 Charlotte Street,Temporary Contractor ,2020-07-01T00:00:00,"144,070.86",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,PD106405-2,General Goods & Services,GGS0060,2020-07-01T00:00:00,2021-05-21T00:00:00,21002888762
DoH_PD,33 Charlotte Street,Temporary Contractor,2020-07-01T00:00:00,"79,671.90",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,PD82774-15,General Goods & Services,GGS0060,2020-07-01T00:00:00,2021-05-28T00:00:00,21002888762
DoH_PD,33 Charlotte Street,Temporary Contractor ,2020-07-01T00:00:00,"17,926.55",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,PD106405-3,General Goods & Services,GGS0060,2020-07-01T00:00:00,2020-07-31T00:00:00,21002888762
DoH_PD,33 Charlotte Street,Membership fees,2020-07-15T00:00:00,"10,945.00",Hg Leadership Pty Ltd,"SE 8  L 2  1 MCLAREN ST, NORTH SYDNEY  NSW  2059",No,No,,,,,,,,4300875858,General Goods & Services,,2020-09-17T00:00:00,2021-07-31T00:00:00,56627036855
DoH_PD,33 Charlotte Street,Meeting expenses,2020-07-15T00:00:00,"22,000.00",Clayton International 2020-21,PO Box 57 YEPPOON  QLD  4703,No,No,,,,,,,,4300734001,General Goods & Services,,2020-07-15T00:00:00,2021-12-31T00:00:00,35010372755
DoH_PD,33 Charlotte Street,2020-21 National Blood Supply Plan,2020-08-01T00:00:00,"56,829,653.00",National Blood Authority,Locked Bag 8430  CANBERRA ACT 2601,No,Yes,,National Blood Supply Plan,,,,,,HSCI69180,Medical,,2020-08-01T00:00:00,2021-08-31T00:00:00,87361602478
DoH_PD,33 Charlotte Street,Printing PBS Hospital Prescription Forms 2020-21,2020-09-03T00:00:00,"215,198.54",Dept Of Human Services,"PO Box 1699, Southport Qld 4215",No,No,,,,,,,,4300844630,General Goods & Services,,2020-09-03T00:00:00,2021-08-31T00:00:00,90794605008
DoH_PD,33 Charlotte Street,National Cord Blood Supply 2020-21,2020-09-21T00:00:00,"997,391.00",Department Of Health,Locked Bag 8430  CANBERRA ACT 2601,No,,,,,,,,,4300882517,Medical,,2020-09-21T00:00:00,2021-06-30T00:00:00,87361602478
DoH_PD,33 Charlotte Street,System Change Orders,2020-09-24T00:00:00,"293,744.00",Fred It Group Pty Ltd,20 TRENERRY CRES ABBOTSFORD  VIC  3067,Yes,,,,,,,,,PD102753,Information and Communication Technology,,2020-09-24T00:00:00,2021-09-13T00:00:00,68109546901
DoH_PD,33 Charlotte Street,Temporary Contractor ,2020-09-28T00:00:00,"34,237.26",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,PD106405-6,General Goods & Services,GGS0060,2020-09-28T00:00:00,2021-01-15T00:00:00,21002888762
DoH_PD,33 Charlotte Street,Pharmacy Business Ownership Administration System,2020-09-30T00:00:00,"776,518.12", MODIS CONSULTING PTY LTD,L19/300 ADELAIDE ST BRISBANE  4000,No,,Open,,,,,,,,Information and Communication Technology,,2020-09-30T00:00:00,2026-04-22T00:00:00,14007145637
DoH_PD,33 Charlotte Street,IP - RTR-Q Release 2 Gate 4 (SOA Order),2020-09-25T00:00:00,"17,600.00",Information Professionals Pty Ltd,"PO Box 15390, City East QLD 4002",No,No,,,,,,,,ICT928AS28,Information and Communication Technology,,2020-09-25T00:00:00,2020-12-12T00:00:00,98164080200
DoH_PD,33 Charlotte Street,Legal Fees,2020-10-28T00:00:00,"18,150.00",Minter Ellison,WATERFRONT PLACE L 22 1 EAGLE STREET BRISBANE  QLD  4000,No,,,,,,,,,,General Goods & Services,,2020-10-28T00:00:00,2021-01-27T00:00:00,91556716819
DoH_PD,33 Charlotte Street,Assurance Review,2021-02-03T00:00:00,"17,710.00",Information Professionals Pty Ltd,"PO Box 15390, City East QLD 4002",No,No,,,,,,,,4301157931,General Goods & Services,,2021-02-03T00:00:00,2021-06-30T00:00:00,98164080200
DoH_PD,33 Charlotte Street,Assurance Review,2021-03-12T00:00:00,"19,910.00",Information Professionals Pty Ltd,"PO Box 15390, City East QLD 4002",No,No,,,,,,,,4301245823,General Goods & Services,,2021-03-12T00:00:00,2021-09-30T00:00:00,98164080200
DoH_PD,33 Charlotte Street,Staffing costs,2021-03-18T00:00:00,"13,108.70",Health Education & Training,Locked Bag 7118 / PARRAMATTA NSW 2124,No,,,,,,,,,,General Goods & Services,,2021-03-18T00:00:00,2021-06-30T00:00:00,82914196002
DoH_PD,33 Charlotte Street,Penetration testing,2021-03-23T00:00:00,"15,191.00",Telstra Corporation Ltd,L41/242 EXHIBITION ST MELBOURNE  VIC  3000,No,,,,,,,,,4301265727,Information and Communication Technology,,2021-03-23T00:00:00,2021-04-30T00:00:00,33051775556
DoH_PD,33 Charlotte Street,Meeting expenses and assessor fees,2020-11-17T00:00:00,"18,180.00",Ian Hawke Consulting,6 KOBADA ST TARINGA   QLD 4068,No,No,,,,,,,,4301007533,General Goods & Services,,2020-11-17T00:00:00,2021-12-31T00:00:00,76704058894
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-05-05T00:00:00,"27,627.88",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,PD106405-20,General Goods & Services,GGS0060,2021-05-05T00:00:00,2021-06-30T00:00:00,21002888762
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-05-06T00:00:00,"21,263.55",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,PD106405-21,General Goods & Services,GGS0060,2021-05-06T00:00:00,2021-07-01T00:00:00,21002888762
DoH_PD,33 Charlotte Street,Temporary Contractor,2021-05-17T00:00:00,"22,569.45",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,PD106405-25,General Goods & Services,GGS0060,2021-05-17T00:00:00,2021-06-30T00:00:00,21002888762
DoH_PD,33 Charlotte Street,QScript QGP0035 Proof Research,2021-05-17T00:00:00,"26,290.00",Proof Research Pty Ltd,Lvl 1/48 WHARF ST KANGAROO POINT  QLD 4169,No,No,,,,,,,,PD110437,General Goods & Services,,2021-05-17T00:00:00,2021-06-30T00:00:00,86723358016
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2020-06-15T00:00:00,"323,750.26",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-4 ,Information and Communication Technology,GGS0060,2020-06-15T00:00:00,2021-06-25T00:00:00,70600569784
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2020-06-15T00:00:00,"223,719.85",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-3,Information and Communication Technology,GGS0060,2020-06-15T00:00:00,2021-03-31T00:00:00,70600569784
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2020-06-22T00:00:00,"250,054.44",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-7 ,Information and Communication Technology,GGS0060,2020-06-22T00:00:00,2021-06-25T00:00:00,70600569784
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2020-06-25T00:00:00,"237,768.99",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-6,Information and Communication Technology,GGS0060,2020-06-25T00:00:00,2021-06-25T00:00:00,70600569784
DoH_PD,33 Charlotte Street,Provision of HIV Point Of Care Tests (POCT) and associated accessories 2020/21,2020-06-30T00:00:00,"117,724.18",Abbott Rapid Diagnostics Pty Ltd,"12 Mowbray Tce, East Brisbane QLD 4169",No,,,,,,,,,PD104249-2,Medical,RFQ BBV/STI UNIT HIV POCT 2020/21,2020-07-01T00:00:00,2021-06-30T00:00:00,19010728220
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2020-07-01T00:00:00,"111,991.66",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-9,Information and Communication Technology,GGS0060,2020-07-01T00:00:00,2021-06-30T00:00:00,70600569784
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2020-07-01T00:00:00,"159,125.47",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-11,Information and Communication Technology,GGS0060,2020-07-01T00:00:00,2021-06-25T00:00:00,70600569784
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2020-07-01T00:00:00,"166,901.47",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-10,Information and Communication Technology,GGS0060,2020-07-01T00:00:00,2021-06-30T00:00:00,70600569784
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2020-07-01T00:00:00,"44,214.15",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-8,Information and Communication Technology,GGS0060,2020-07-01T00:00:00,2020-08-31T00:00:00,70600569784
DoH_PD,33 Charlotte Street,Supply of Injecting Equipment for Qld Needle and Syringe Program,2020-07-01T00:00:00,"1,115,742.76",Asp Healthcare Pty Ltd,17 HARRIS ST ST MARYS  NSW  2760,No,,SOA,,,,,,,PD111156,Medical,QNSP15,2020-07-01T00:00:00,2021-06-30T00:00:00,45108259329
DoH_PD,33 Charlotte Street,Supply of Injecting Equipment for Qld Needle and Syringe Program,2020-07-01T00:00:00,"342,176.87",Clifford Hallam Healthcare P/L,U 2 & 3 14 LUKE ST  LYTTON  QLD  4178,No,,,,,,,,,4300722378,Medical,QNSP15,2020-07-01T00:00:00,2021-06-30T00:00:00,38001655554
DoH_PD,33 Charlotte Street,Supply of Injecting Equipment for Qld Needle and Syringe Program (Pharmacy),2020-07-01T00:00:00,"1,042,319.77",Asp Healthcare Pty Ltd,17 HARRIS ST ST MARYS  NSW  2760,No,,SOA,,,,,,,PD111156,Medical,QNSP15,2020-07-01T00:00:00,2021-06-30T00:00:00,45108259329
DoH_PD,33 Charlotte Street,Messaging services - monthly fee and SMS messages,2020-07-01T00:00:00,"12,341.05",Messagenet Pty Ltd,PO BOX 442 MELBOURNE VIC  3002,No,No,,,,,,,,,General Goods & Services,,2020-07-01T00:00:00,2021-04-30T00:00:00,97082712589
DoH_PD,33 Charlotte Street,Temporary Contractor,2020-07-06T00:00:00,"79,496.76",RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,No,,,,,,,,PD106403-1,General Goods & Services,GGS0060,2020-07-06T00:00:00,2021-02-19T00:00:00,28080275378
DoH_PD,33 Charlotte Street,Supply of Injecting Equipment for Qld Needle and Syringe Program,2020-07-09T00:00:00,"630,034.27",Terumo Australia Pty Ltd,L 4  BLDG A  5 TALAVERA RD MACQUARIE PARK  NSW  2113,No,,SOA,,,,,,,4300722101,Medical,QNSP15,2020-07-01T00:00:00,2021-06-30T00:00:00,34158693595
DoH_PD,33 Charlotte Street,Linkedin Learning - Yearly subscription,2020-07-09T00:00:00,"10,835.00",Linkedin,L9/1 MARTON PL  SYDNEY  NSW  2000,No,No,,,,,,,,,General Goods & Services,,2020-07-09T00:00:00,2020-07-09T00:00:00,73615253408
DoH_PD,33 Charlotte Street,Contract change for COVID-19 Instance and increase in Maintenance and support costs for the inclusion of Mount ISA Mines Lab interface,2020-07-17T00:00:00,"123,643.30",Sunquest Information Systems P/L,Level 6 Suite 2 410 Ann Street Brisbane Qld 4000 ,Yes,,Limited,,,,,,,PD99134,Information and Communication Technology,,2020-07-17T00:00:00,2025-05-14T00:00:00,32620052404
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2020-08-03T00:00:00,"93,024.80",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,PD106367-1,Information and Communication Technology,GGS0060,2020-08-03T00:00:00,2021-01-22T00:00:00,70600569784
DoH_PD,33 Charlotte Street,Distribution of public health alerts to GP's in Queensland,2020-08-04T00:00:00,"36,190.00",Checkup Australia,L5/410 Queen Street BRISBANE  QLD  4000,No,,,,,,,,,4300779195,General Goods & Services,,2020-08-04T00:00:00,2021-06-30T00:00:00,56123426111
DoH_PD,33 Charlotte Street,Immunisation Printing Yr 6 7 10 (2020) & Freight,2020-09-02T00:00:00,"121,660.50",The Buckner Group Pty Ltd,71 BASALT ST GEEBUNG  QLD  4034,No,,,,,,,,,,General Goods & Services,,2020-09-02T00:00:00,2020-10-01T00:00:00,47009739422
DoH_PD,33 Charlotte Street,Health Check Assurance Review,2020-09-10T00:00:00,"33,880.00",Information Professionals,Level 7/243 Edward Street Brisbane  4000,No,,,,,,,,,4300862345,General Goods & Services,ICT 9281 SOA Order,2020-09-10T00:00:00,2021-09-11T00:00:00,98164080200
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2020-09-22T00:00:00,"141,574.40",Adecco Australia,"Level 19/300 Adelaide St, Brisbane City QLD 4000",No,No,,,,,,,,PD106406-2,General Goods & Services,GGS0060,2020-09-22T00:00:00,2021-06-30T00:00:00,91006253336
