date,date_key,created_date_key,activity_date_key,opportunity_id,account_key,sales_rep_key,product_key,stage_key,deal_stage,revenue,predicted_win_probability,days_to_close,opportunity_age_days,year_month,year,month
2017-03-07,20170307,20161112,20170307,AT3MMVIS,71.0,16,4,4,Won,3045.0,0.9999999998640916,115.0,115.0,2017-03,2017,3
2017-03-14,20170314,20161113,20170314,REJ11LRY,49.0,15,6,4,Won,1233.0,0.9995469338633803,121.0,121.0,2017-03,2017,3
2017-03-09,20170309,20161113,20170309,ERV0CAZ7,85.0,3,3,4,Won,60.0,0.7634662724785801,116.0,116.0,2017-03,2017,3
2017-03-30,20170330,20161114,20170330,8SOQADK7,30.0,1,3,2,Lost,0.0,0.8708277172607698,136.0,136.0,2017-03,2017,3
2017-03-08,20170308,20161114,20170308,TCHFT25B,66.0,10,1,2,Lost,0.0,0.4073231281925336,114.0,114.0,2017-03,2017,3
2017-03-20,20170320,20161114,20170320,CZVN09WN,45.0,10,6,4,Won,1170.0,0.9991751435162105,126.0,126.0,2017-03,2017,3
2017-03-20,20170320,20161115,20170320,30UQWUKB,28.0,7,6,4,Won,1162.0,0.9989639115883441,125.0,125.0,2017-03,2017,3
2017-03-14,20170314,20161116,20170314,97UN20YY,13.0,10,4,4,Won,3725.0,0.9999999999997398,118.0,118.0,2017-03,2017,3
2017-03-31,20170331,20161116,20170331,JXLERZ9O,31.0,31,1,4,Won,559.0,0.9768844558642297,135.0,135.0,2017-03,2017,3
2017-03-11,20170311,20161116,20170311,6ROE69W5,54.0,25,1,2,Lost,0.0,0.14582413918921258,115.0,115.0,2017-03,2017,3
2017-03-21,20170321,20161117,20170321,0DFXFKT7,60.0,10,6,2,Lost,0.0,0.04833561896144494,124.0,124.0,2017-03,2017,3
2017-03-05,20170305,20161117,20170305,XKMZVSN4,65.0,30,5,4,Won,4667.0,1.0,108.0,108.0,2017-03,2017,3
2017-03-17,20170317,20161117,20170317,IU8V0BZK,23.0,7,6,4,Won,903.0,0.9911628782426373,120.0,120.0,2017-03,2017,3
2017-03-13,20170313,20161117,20170313,XY42936P,24.0,34,6,4,Won,1180.0,0.9994785050772433,116.0,116.0,2017-03,2017,3
2017-03-05,20170305,20161117,20170305,XRN54MBM,59.0,9,1,4,Won,487.0,0.9588058990808058,108.0,108.0,2017-03,2017,3
2017-03-04,20170304,20161118,20170304,2V848WZD,66.0,4,4,4,Won,3180.0,0.9999999999740641,106.0,106.0,2017-03,2017,3
2017-03-17,20170317,20161119,20170317,ONYNTUCG,25.0,10,2,2,Lost,0.0,0.008245678608822816,118.0,118.0,2017-03,2017,3
2017-03-18,20170318,20161119,20170318,HIOHX80Y,30.0,10,4,4,Won,3563.0,0.9999999999992164,119.0,119.0,2017-03,2017,3
2017-03-23,20170323,20161120,20170323,LPKT07PV,53.0,22,2,4,Won,4704.0,1.0,123.0,123.0,2017-03,2017,3
2017-03-14,20170314,20161120,20170314,WPB2SLIG,63.0,20,5,4,Won,5585.0,1.0,114.0,114.0,2017-03,2017,3
2017-03-09,20170309,20161120,20170309,XUSUEAV7,83.0,28,7,4,Won,25897.0,1.0,109.0,109.0,2017-03,2017,3
2017-03-03,20170303,20161120,20170303,3TYPII47,32.0,32,6,4,Won,1207.0,0.9996165740599857,103.0,103.0,2017-03,2017,3
2017-03-08,20170308,20161120,20170308,7WAX8Z8O,9.0,4,4,2,Lost,0.0,0.007590654589308034,108.0,108.0,2017-03,2017,3
2017-03-04,20170304,20161120,20170304,MYDUMR3R,57.0,4,1,4,Won,559.0,0.9769139559584676,104.0,104.0,2017-03,2017,3
2017-03-09,20170309,20161120,20170309,37JFKD4I,15.0,9,6,4,Won,1033.0,0.9951828311437991,109.0,109.0,2017-03,2017,3
2017-03-21,20170321,20161121,20170321,25YKPHX8,42.0,20,1,4,Won,462.0,0.9210654366885546,120.0,120.0,2017-03,2017,3
2017-03-01,20170301,20161121,20170301,BXXMA7F3,50.0,26,4,2,Lost,0.0,0.010803037375694043,100.0,100.0,2017-03,2017,3
2017-03-14,20170314,20161121,20170314,GIUUTBXM,79.0,31,2,4,Won,5539.0,1.0,113.0,113.0,2017-03,2017,3
2017-03-15,20170315,20161121,20170315,MFX2LR1Q,59.0,4,4,4,Won,3573.0,0.9999999999988061,114.0,114.0,2017-03,2017,3
2017-03-01,20170301,20161121,20170301,DUHE9FLY,13.0,7,2,4,Won,4926.0,1.0,100.0,100.0,2017-03,2017,3
2017-03-17,20170317,20161121,20170317,96BSG7R1,70.0,33,6,2,Lost,0.0,0.023903424124219152,116.0,116.0,2017-03,2017,3
2017-03-04,20170304,20161122,20170304,7FQMSWIX,5.0,13,3,4,Won,62.0,0.858634396081994,102.0,102.0,2017-03,2017,3
2017-03-14,20170314,20161122,20170314,C20AVXN7,30.0,10,2,4,Won,4359.0,0.9999999999999993,112.0,112.0,2017-03,2017,3
2017-03-31,20170331,20161122,20170331,GS1QVWCR,55.0,32,1,4,Won,566.0,0.976409245812367,129.0,129.0,2017-03,2017,3
2017-03-03,20170303,20161122,20170303,ZWH8FXY3,72.0,7,1,4,Won,508.0,0.9692272304404816,101.0,101.0,2017-03,2017,3
2017-03-20,20170320,20161122,20170320,2U94Y3Q9,75.0,14,4,2,Lost,0.0,0.009209813999443622,118.0,118.0,2017-03,2017,3
2017-03-11,20170311,20161122,20170311,AAR79NOO,11.0,3,3,4,Won,51.0,0.8127798248307456,109.0,109.0,2017-03,2017,3
2017-03-05,20170305,20161122,20170305,B6B0PNR2,14.0,24,2,4,Won,4899.0,1.0,103.0,103.0,2017-03,2017,3
2017-03-03,20170303,20161123,20170303,LXZA2OSZ,52.0,13,5,4,Won,5790.0,1.0,100.0,100.0,2017-03,2017,3
2017-03-30,20170330,20161123,20170330,N0ONCYVZ,43.0,20,3,2,Lost,0.0,0.6485419045690967,127.0,127.0,2017-03,2017,3
2017-03-03,20170303,20161123,20170303,513DPFX5,11.0,8,2,4,Won,4438.0,0.9999999999999993,100.0,100.0,2017-03,2017,3
2017-03-17,20170317,20161123,20170317,RU023K5W,23.0,8,4,4,Won,2972.0,0.9999999996542868,114.0,114.0,2017-03,2017,3
2017-03-01,20170301,20161123,20170301,BZCBQ514,79.0,27,1,4,Won,523.0,0.9529974659863896,98.0,98.0,2017-03,2017,3
2017-03-25,20170325,20161124,20170325,HEE6P0QH,67.0,1,4,4,Won,3647.0,0.9999999999992502,121.0,121.0,2017-03,2017,3
2017-03-01,20170301,20161124,20170301,L8CHRJ2B,74.0,19,4,4,Won,4200.0,0.9999999999999933,97.0,97.0,2017-03,2017,3
2017-03-28,20170328,20161124,20170328,V2X2KMUR,22.0,32,6,4,Won,1059.0,0.9982123830745123,124.0,124.0,2017-03,2017,3
2017-03-05,20170305,20161124,20170305,AJIPJP75,11.0,7,6,2,Lost,0.0,0.025768872410959997,101.0,101.0,2017-03,2017,3
2017-03-02,20170302,20161124,20170302,NYVA2G6U,19.0,3,3,4,Won,57.0,0.8982776399760453,98.0,98.0,2017-03,2017,3
2017-03-27,20170327,20161124,20170327,FF45BXTL,44.0,24,4,4,Won,3671.0,0.9999999999996207,123.0,123.0,2017-03,2017,3
2017-03-01,20170301,20161125,20170301,TTA9LYBS,73.0,1,3,4,Won,58.0,0.8685120320177951,96.0,96.0,2017-03,2017,3
2017-03-06,20170306,20161125,20170306,PAGZQH8L,73.0,2,4,4,Won,3956.0,0.9999999999999687,101.0,101.0,2017-03,2017,3
2017-03-01,20170301,20161125,20170301,J7YF6DS7,2.0,13,5,4,Won,5964.0,1.0,96.0,96.0,2017-03,2017,3
2017-03-06,20170306,20161125,20170306,S5IXY4Z9,2.0,13,2,4,Won,4570.0,0.9999999999999998,101.0,101.0,2017-03,2017,3
2017-03-27,20170327,20161125,20170327,JQBJMETQ,16.0,10,3,4,Won,49.0,0.8361407074425309,122.0,122.0,2017-03,2017,3
2017-03-06,20170306,20161125,20170306,0LVWSWEW,18.0,12,3,4,Won,65.0,0.9045778632180728,101.0,101.0,2017-03,2017,3
2017-03-27,20170327,20161126,20170327,K53BC1T9,16.0,1,3,2,Lost,0.0,0.7982778962643358,121.0,121.0,2017-03,2017,3
2017-03-08,20170308,20161126,20170308,D40N5I9Y,23.0,10,2,4,Won,4739.0,1.0,102.0,102.0,2017-03,2017,3
2017-03-21,20170321,20161126,20170321,051QTX8Z,29.0,9,6,4,Won,1080.0,0.9961573030117945,115.0,115.0,2017-03,2017,3
2017-03-12,20170312,20161126,20170312,5D2XH04S,56.0,21,3,4,Won,57.0,0.8906834201336431,106.0,106.0,2017-03,2017,3
2017-03-16,20170316,20161127,20170316,V9E582SK,44.0,15,1,4,Won,469.0,0.9600257901388305,109.0,109.0,2017-03,2017,3
2017-03-03,20170303,20161127,20170303,UK0LEZRJ,12.0,31,1,4,Won,532.0,0.9773049503934549,96.0,96.0,2017-03,2017,3
2017-03-26,20170326,20161127,20170326,IT10CFQH,44.0,25,1,4,Won,538.0,0.972673339438615,119.0,119.0,2017-03,2017,3
2017-03-21,20170321,20161127,20170321,8VKD2CCH,48.0,14,2,4,Won,4829.0,1.0,114.0,114.0,2017-03,2017,3
2017-03-11,20170311,20161127,20170311,2XQAKBXH,17.0,33,5,4,Won,5370.0,1.0,104.0,104.0,2017-03,2017,3
2017-03-21,20170321,20161127,20170321,7G7YLGJO,35.0,33,5,4,Won,6499.0,1.0,114.0,114.0,2017-03,2017,3
2017-03-06,20170306,20161128,20170306,GCA97W27,28.0,10,6,4,Won,1161.0,0.9984798642628261,98.0,98.0,2017-03,2017,3
2017-03-26,20170326,20161128,20170326,K8FUZHOG,61.0,31,1,4,Won,576.0,0.9887108481653544,118.0,118.0,2017-03,2017,3
2017-03-19,20170319,20161128,20170319,5WJZMULK,35.0,34,6,4,Won,979.0,0.9938884345133967,111.0,111.0,2017-03,2017,3
2017-03-07,20170307,20161128,20170307,ZPYD4T9W,66.0,3,3,4,Won,43.0,0.923507152532078,99.0,99.0,2017-03,2017,3
2017-03-07,20170307,20161129,20170307,KE9ZEDS8,62.0,8,3,4,Won,57.0,0.7830697537732483,98.0,98.0,2017-03,2017,3
2017-03-28,20170328,20161129,20170328,7KK0HQ4C,59.0,4,3,2,Lost,0.0,0.7567757144600072,119.0,119.0,2017-03,2017,3
2017-03-12,20170312,20161129,20170312,FP7014Z0,25.0,4,6,4,Won,948.0,0.9872481434723063,103.0,103.0,2017-03,2017,3
2017-03-10,20170310,20161129,20170310,N4HFHDMW,56.0,16,4,4,Won,3012.0,0.9999999998548206,101.0,101.0,2017-03,2017,3
2017-03-15,20170315,20161130,20170315,2HFLKREC,84.0,19,4,4,Won,3665.0,0.9999999999996105,105.0,105.0,2017-03,2017,3
2017-03-24,20170324,20161130,20170324,7JVTTVCO,27.0,12,1,4,Won,564.0,0.9804238962875673,114.0,114.0,2017-03,2017,3
2017-03-06,20170306,20161201,20170306,3X13866U,15.0,1,6,2,Lost,0.0,0.030176104528540783,95.0,95.0,2017-03,2017,3
2017-03-22,20170322,20161201,20170322,7LE19SYE,37.0,19,4,4,Won,3463.0,0.9999999999965421,111.0,111.0,2017-03,2017,3
2017-03-26,20170326,20161201,20170326,J5V2M7Y1,27.0,13,1,4,Won,513.0,0.9719175316794894,115.0,115.0,2017-03,2017,3
2017-03-28,20170328,20161201,20170328,41MURAI5,44.0,13,1,4,Won,590.0,0.9885778716885232,117.0,117.0,2017-03,2017,3
2017-03-30,20170330,20161201,20170330,QHI8WRIA,19.0,10,2,4,Won,4511.0,0.9999999999999998,119.0,119.0,2017-03,2017,3
2017-03-02,20170302,20161201,20170302,AJXAXV4W,23.0,4,4,2,Lost,0.0,0.004978873672575376,91.0,91.0,2017-03,2017,3
2017-03-26,20170326,20161201,20170326,VPDXX5PJ,9.0,9,1,4,Won,546.0,0.9743515397644938,115.0,115.0,2017-03,2017,3
2017-03-05,20170305,20161201,20170305,PZB9NUK8,79.0,24,3,4,Won,46.0,0.820697314663571,94.0,94.0,2017-03,2017,3
2017-03-09,20170309,20161202,20170309,A0ANOYPF,59.0,10,2,4,Won,4891.0,1.0,97.0,97.0,2017-03,2017,3
2017-03-03,20170303,20161202,20170303,0P4AAPYX,31.0,26,6,4,Won,1040.0,0.997231041294256,91.0,91.0,2017-03,2017,3
2017-03-04,20170304,20161202,20170304,O6T5WC3W,65.0,26,6,4,Won,1108.0,0.9988300570308691,92.0,92.0,2017-03,2017,3
2017-03-04,20170304,20161202,20170304,0NO04P6C,50.0,26,3,4,Won,59.0,0.8618348490341626,92.0,92.0,2017-03,2017,3
2017-03-30,20170330,20161202,20170330,22OFSXBT,67.0,6,2,4,Won,5406.0,1.0,118.0,118.0,2017-03,2017,3
2017-03-20,20170320,20161202,20170320,MRXZTMM6,10.0,31,1,4,Won,515.0,0.973082350930203,108.0,108.0,2017-03,2017,3
2017-03-06,20170306,20161202,20170306,LGI8QEC2,73.0,5,1,4,Won,583.0,0.9818142556585678,94.0,94.0,2017-03,2017,3
2017-03-14,20170314,20161202,20170314,6KZ0NCFX,25.0,3,3,4,Won,54.0,0.8276078660220557,102.0,102.0,2017-03,2017,3
2017-03-27,20170327,20161202,20170327,3SF8O9S6,55.0,24,3,4,Won,60.0,0.7915329103959519,115.0,115.0,2017-03,2017,3
2017-03-12,20170312,20161203,20170312,XK668R7C,19.0,10,1,2,Lost,0.0,0.3030167503457566,99.0,99.0,2017-03,2017,3
2017-03-19,20170319,20161203,20170319,TZCAQWL3,25.0,10,2,2,Lost,0.0,0.008183473127968417,106.0,106.0,2017-03,2017,3
2017-03-23,20170323,20161203,20170323,BADC6A9H,29.0,10,1,4,Won,516.0,0.956250280053794,110.0,110.0,2017-03,2017,3
2017-03-22,20170322,20161203,20170322,B8E0UUZR,57.0,10,2,4,Won,4829.0,1.0,109.0,109.0,2017-03,2017,3
2017-03-17,20170317,20161203,20170317,I043RXJV,19.0,5,6,2,Lost,0.0,0.04093338115874873,104.0,104.0,2017-03,2017,3
2017-03-02,20170302,20161203,20170302,MWWB44CC,18.0,21,6,4,Won,950.0,0.997011893505544,89.0,89.0,2017-03,2017,3
2017-03-09,20170309,20161203,20170309,HBTINPDG,77.0,24,6,2,Lost,0.0,0.017001103615240442,96.0,96.0,2017-03,2017,3
2017-03-20,20170320,20161204,20170320,DZ3KHZSX,37.0,13,1,4,Won,513.0,0.9666889498002574,106.0,106.0,2017-03,2017,3
2017-03-09,20170309,20161204,20170309,3W1K7X5F,12.0,10,2,2,Lost,0.0,0.013835418284041452,95.0,95.0,2017-03,2017,3
2017-03-12,20170312,20161204,20170312,45A57X68,59.0,10,5,4,Won,5522.0,1.0,98.0,98.0,2017-03,2017,3
2017-03-09,20170309,20161204,20170309,9SLYC4TR,9.0,8,3,4,Won,56.0,0.8440882998151734,95.0,95.0,2017-03,2017,3
2017-03-08,20170308,20161204,20170308,JLWKWQYC,17.0,30,2,4,Won,5673.0,1.0,94.0,94.0,2017-03,2017,3
2017-03-10,20170310,20161204,20170310,7QC6FOKW,77.0,32,1,4,Won,598.0,0.9773981855560372,96.0,96.0,2017-03,2017,3
2017-03-16,20170316,20161204,20170316,XA184CMW,57.0,7,5,4,Won,5787.0,1.0,102.0,102.0,2017-03,2017,3
2017-03-08,20170308,20161204,20170308,S0N7BYU3,64.0,34,6,4,Won,1070.0,0.99806564925199,94.0,94.0,2017-03,2017,3
2017-03-14,20170314,20161205,20170314,6WOMHAJM,18.0,22,4,4,Won,3677.0,0.9999999999997382,99.0,99.0,2017-03,2017,3
2017-03-30,20170330,20161205,20170330,G1QGATKV,52.0,19,5,4,Won,5425.0,1.0,115.0,115.0,2017-03,2017,3
2017-03-23,20170323,20161205,20170323,6XFVQI32,80.0,20,4,4,Won,3415.0,0.9999999999956699,108.0,108.0,2017-03,2017,3
2017-03-21,20170321,20161205,20170321,OGD4MDJ9,47.0,34,6,4,Won,891.0,0.9849504822630784,106.0,106.0,2017-03,2017,3
2017-03-12,20170312,20161206,20170312,4NGBUZWJ,11.0,4,1,4,Won,609.0,0.971141579843591,96.0,96.0,2017-03,2017,3
2017-03-16,20170316,20161206,20170316,EFG5DGV5,55.0,27,3,4,Won,54.0,0.6915157727401735,100.0,100.0,2017-03,2017,3
2017-03-09,20170309,20161206,20170309,82MM4H33,46.0,33,6,4,Won,1049.0,0.9963636041303651,93.0,93.0,2017-03,2017,3
2017-03-07,20170307,20161207,20170307,14PM641K,27.0,19,6,4,Won,1152.0,0.9988577849268991,90.0,90.0,2017-03,2017,3
2017-03-20,20170320,20161207,20170320,DSBGHOPN,56.0,18,3,2,Lost,0.0,0.7738556259072712,103.0,103.0,2017-03,2017,3
2017-03-28,20170328,20161207,20170328,1YSOZLHF,74.0,18,2,4,Won,4799.0,1.0,111.0,111.0,2017-03,2017,3
2017-03-12,20170312,20161207,20170312,E8RP9FRW,15.0,8,3,4,Won,51.0,0.7858588036066242,95.0,95.0,2017-03,2017,3
2017-03-03,20170303,20161207,20170303,787IRG9Q,41.0,26,4,4,Won,3426.0,0.9999999999957006,86.0,86.0,2017-03,2017,3
2017-03-11,20170311,20161207,20170311,0TUS4NAC,57.0,6,3,4,Won,51.0,0.8853576768626339,94.0,94.0,2017-03,2017,3
2017-03-20,20170320,20161207,20170320,FAJTQMUM,24.0,32,1,4,Won,564.0,0.9889966107290309,103.0,103.0,2017-03,2017,3
2017-03-01,20170301,20161208,20170301,TWF0J0DF,39.0,2,5,4,Won,5882.0,1.0,83.0,83.0,2017-03,2017,3
2017-03-20,20170320,20161208,20170320,UQ14O415,56.0,20,2,4,Won,5059.0,1.0,102.0,102.0,2017-03,2017,3
2017-03-11,20170311,20161208,20170311,BOJSLNDG,64.0,32,4,4,Won,3388.0,0.9999999999956923,93.0,93.0,2017-03,2017,3
2017-03-10,20170310,20161208,20170310,DASMR0EK,83.0,27,5,4,Won,5410.0,1.0,92.0,92.0,2017-03,2017,3
2017-03-28,20170328,20161208,20170328,A76M0OOH,81.0,21,6,4,Won,978.0,0.9958192939587391,110.0,110.0,2017-03,2017,3
2017-03-26,20170326,20161208,20170326,E1VKE2PH,61.0,24,3,4,Won,54.0,0.8978683599948987,108.0,108.0,2017-03,2017,3
2017-03-22,20170322,20161209,20170322,SKY95DVG,3.0,1,3,2,Lost,0.0,0.7855395414355014,103.0,103.0,2017-03,2017,3
2017-03-14,20170314,20161209,20170314,V5OK4V5I,8.0,19,1,4,Won,549.0,0.982047153841111,95.0,95.0,2017-03,2017,3
2017-03-14,20170314,20161209,20170314,GJ4L5HHN,49.0,13,6,4,Won,1034.0,0.9972813865251352,95.0,95.0,2017-03,2017,3
2017-03-03,20170303,20161209,20170303,9R8JWY3J,75.0,20,2,4,Won,4998.0,1.0,84.0,84.0,2017-03,2017,3
2017-03-28,20170328,20161209,20170328,0EOFVU05,52.0,20,4,4,Won,3421.0,0.9999999999956446,109.0,109.0,2017-03,2017,3
2017-03-04,20170304,20161209,20170304,HNHOPL7M,17.0,31,5,4,Won,5425.0,1.0,85.0,85.0,2017-03,2017,3
2017-03-15,20170315,20161209,20170315,Y0NYI17R,14.0,24,3,4,Won,55.0,0.9012634336561391,96.0,96.0,2017-03,2017,3
2017-03-14,20170314,20161209,20170314,R4F4RGAL,63.0,12,4,4,Won,3558.0,0.9999999999989064,95.0,95.0,2017-03,2017,3
2017-03-22,20170322,20161210,20170322,0ZHLQFGU,6.0,32,2,4,Won,4839.0,1.0,102.0,102.0,2017-03,2017,3
2017-03-25,20170325,20161210,20170325,40DPY158,36.0,27,3,4,Won,47.0,0.7573641499672438,105.0,105.0,2017-03,2017,3
2017-03-24,20170324,20161210,20170324,DP9E525R,21.0,34,6,4,Won,1007.0,0.9946871442566932,104.0,104.0,2017-03,2017,3
2017-03-24,20170324,20161210,20170324,DBDUMQQK,38.0,9,3,4,Won,48.0,0.7832187878431306,104.0,104.0,2017-03,2017,3
2017-03-07,20170307,20161210,20170307,CNBN12RL,73.0,3,3,4,Won,49.0,0.8595277722797525,87.0,87.0,2017-03,2017,3
2017-03-18,20170318,20161210,20170318,OXL0YWEE,49.0,12,1,4,Won,504.0,0.9670675157138917,98.0,98.0,2017-03,2017,3
2017-03-21,20170321,20161211,20170321,5CSSZJF4,23.0,6,1,4,Won,543.0,0.9720773877433121,100.0,100.0,2017-03,2017,3
2017-03-18,20170318,20161211,20170318,0XG8TOJF,21.0,31,5,2,Lost,0.0,0.009415792424322614,97.0,97.0,2017-03,2017,3
2017-03-28,20170328,20161211,20170328,IIS0O91J,21.0,31,2,4,Won,5149.0,1.0,107.0,107.0,2017-03,2017,3
2017-03-09,20170309,20161211,20170309,2LP5SUR5,73.0,4,1,2,Lost,0.0,0.17035243108304876,88.0,88.0,2017-03,2017,3
2017-03-11,20170311,20161211,20170311,PYZZ3IS6,6.0,27,6,4,Won,1043.0,0.995402028397342,90.0,90.0,2017-03,2017,3
2017-03-09,20170309,20161212,20170309,5I4K5TQE,69.0,19,5,2,Lost,0.0,0.010806478909470021,87.0,87.0,2017-03,2017,3
2017-03-29,20170329,20161212,20170329,RV3LPOYP,12.0,30,1,4,Won,437.0,0.9585716743251878,107.0,107.0,2017-03,2017,3
2017-03-11,20170311,20161212,20170311,1HVNTEPV,43.0,14,2,4,Won,4465.0,0.9999999999999996,89.0,89.0,2017-03,2017,3
2017-03-18,20170318,20161212,20170318,LC85AQ1I,44.0,24,1,4,Won,443.0,0.9470605521057197,96.0,96.0,2017-03,2017,3
2017-03-23,20170323,20161212,20170323,TBV972NP,69.0,12,3,2,Lost,0.0,0.7541664136186205,101.0,101.0,2017-03,2017,3
2017-03-20,20170320,20161213,20170320,EJMX0EIJ,3.0,10,5,4,Won,4278.0,0.9999999999999984,97.0,97.0,2017-03,2017,3
2017-03-06,20170306,20161213,20170306,VR9NYBOV,43.0,15,3,4,Won,41.0,0.7541184570976966,83.0,83.0,2017-03,2017,3
2017-03-28,20170328,20161213,20170328,3U25FK08,39.0,6,1,4,Won,519.0,0.9694153746906524,105.0,105.0,2017-03,2017,3
2017-03-04,20170304,20161213,20170304,CRLK4Z1P,42.0,34,1,4,Won,524.0,0.9561889564151337,81.0,81.0,2017-03,2017,3
2017-03-27,20170327,20161213,20170327,OGENAT0L,64.0,33,1,4,Won,552.0,0.9756968185986967,104.0,104.0,2017-03,2017,3
2017-03-02,20170302,20161214,20170302,F57JWIDF,45.0,8,6,4,Won,970.0,0.9930420397396108,78.0,78.0,2017-03,2017,3
2017-03-13,20170313,20161214,20170313,LF8JZ3Q5,35.0,31,6,4,Won,1046.0,0.9965506096024027,89.0,89.0,2017-03,2017,3
2017-03-14,20170314,20161214,20170314,MRGBSMQ5,70.0,31,6,4,Won,988.0,0.995167123526779,90.0,90.0,2017-03,2017,3
