date,year_month,year,month,account_key,account,closed_won_revenue,cohort_month,customer_status
2017-06-01,2017-06,2017,6,13.0,Conecom,7198.0,2017-03,returning
2017-06-01,2017-06,2017,6,58.0,Rantouch,6759.0,2017-03,returning
2017-05-01,2017-05,2017,5,6.0,Blackzim,7842.0,2017-03,returning
2017-04-01,2017-04,2017,4,66.0,Stanredtax,10991.0,2017-03,returning
2017-04-01,2017-04,2017,4,6.0,Blackzim,1727.0,2017-03,returning
2017-04-01,2017-04,2017,4,10.0,Cheers,12304.0,2017-03,returning
2017-04-01,2017-04,2017,4,52.0,Ontomedia,1140.0,2017-03,returning
2017-04-01,2017-04,2017,4,62.0,Scottech,1645.0,2017-03,returning
2017-04-01,2017-04,2017,4,23.0,Finhigh,3386.0,2017-03,returning
2017-08-01,2017-08,2017,8,64.0,Singletechno,23205.0,2017-03,returning
2017-08-01,2017-08,2017,8,19.0,Dontechi,19445.0,2017-03,returning
2017-08-01,2017-08,2017,8,57.0,Rangreen,19520.0,2017-03,returning
2017-08-01,2017-08,2017,8,29.0,Globex Corporation,17495.0,2017-03,returning
2017-08-01,2017-08,2017,8,3.0,Betatech,1166.0,2017-03,returning
2017-08-01,2017-08,2017,8,14.0,Dalttechnology,8326.0,2017-03,returning
2017-08-01,2017-08,2017,8,45.0,Konmatfix,4005.0,2017-03,returning
2017-08-01,2017-08,2017,8,66.0,Stanredtax,11549.0,2017-03,returning
2017-09-01,2017-09,2017,9,26.0,Ganjaflex,17030.0,2017-03,returning
2017-08-01,2017-08,2017,8,22.0,Faxquote,12881.0,2017-03,returning
2017-09-01,2017-09,2017,9,47.0,Lexiqvolax,24022.0,2017-03,returning
2017-08-01,2017-08,2017,8,58.0,Rantouch,33451.0,2017-03,returning
2017-08-01,2017-08,2017,8,49.0,Mathtouch,16597.0,2017-03,returning
2017-09-01,2017-09,2017,9,45.0,Konmatfix,3822.0,2017-03,returning
2017-08-01,2017-08,2017,8,41.0,J-Texon,4018.0,2017-03,returning
2017-09-01,2017-09,2017,9,81.0,Zathunicon,1487.0,2017-03,returning
2017-09-01,2017-09,2017,9,67.0,Statholdings,3894.0,2017-03,returning
2017-07-01,2017-07,2017,7,73.0,Treequote,11430.0,2017-03,returning
2017-07-01,2017-07,2017,7,44.0,Konex,21431.0,2017-03,returning
2017-07-01,2017-07,2017,7,59.0,Ron-tech,12975.0,2017-03,returning
2017-07-01,2017-07,2017,7,64.0,Singletechno,4328.0,2017-03,returning
2017-07-01,2017-07,2017,7,61.0,Scotfind,4264.0,2017-03,returning
2017-07-01,2017-07,2017,7,10.0,Cheers,10207.0,2017-03,returning
2017-07-01,2017-07,2017,7,25.0,Funholding,15531.0,2017-03,returning
2017-11-01,2017-11,2017,11,30.0,Gogozoom,746.0,2017-03,returning
2017-07-01,2017-07,2017,7,74.0,Umbrella Corporation,10715.0,2017-03,returning
2017-07-01,2017-07,2017,7,11.0,Codehow,3902.0,2017-03,returning
2017-11-01,2017-11,2017,11,57.0,Rangreen,29133.0,2017-03,returning
2017-07-01,2017-07,2017,7,20.0,Donware,494.0,2017-03,returning
2017-12-01,2017-12,2017,12,33.0,Green-Plus,14096.0,2017-03,returning
2017-08-01,2017-08,2017,8,69.0,Sumace,3453.0,2017-03,returning
2017-11-01,2017-11,2017,11,29.0,Globex Corporation,8902.0,2017-03,returning
2017-12-01,2017-12,2017,12,32.0,Goodsilron,13646.0,2017-03,returning
2017-12-01,2017-12,2017,12,31.0,Golddex,1818.0,2017-03,returning
2017-12-01,2017-12,2017,12,50.0,Nam-zim,665.0,2017-03,returning
2017-11-01,2017-11,2017,11,39.0,Isdom,6382.0,2017-03,returning
2017-12-01,2017-12,2017,12,8.0,Bubba Gump,19424.0,2017-03,returning
2017-12-01,2017-12,2017,12,30.0,Gogozoom,6802.0,2017-03,returning
2017-12-01,2017-12,2017,12,38.0,Inity,22081.0,2017-03,returning
2017-11-01,2017-11,2017,11,51.0,Newex,5326.0,2017-03,returning
2017-12-01,2017-12,2017,12,52.0,Ontomedia,8357.0,2017-03,returning
2017-12-01,2017-12,2017,12,2.0,Betasoloin,4236.0,2017-03,returning
2017-10-01,2017-10,2017,10,13.0,Conecom,12649.0,2017-03,returning
2017-10-01,2017-10,2017,10,60.0,Rundofase,7084.0,2017-03,returning
2017-10-01,2017-10,2017,10,70.0,Sunnamplex,1718.0,2017-03,returning
2017-10-01,2017-10,2017,10,66.0,Stanredtax,21539.0,2017-03,returning
2017-10-01,2017-10,2017,10,42.0,Kan-code,18802.0,2017-03,returning
2017-10-01,2017-10,2017,10,72.0,Toughzap,8310.0,2017-03,returning
2017-12-01,2017-12,2017,12,74.0,Umbrella Corporation,12872.0,2017-03,returning
2017-10-01,2017-10,2017,10,7.0,Bluth Company,4186.0,2017-05,returning
2017-10-01,2017-10,2017,10,56.0,Plussunin,15101.0,2017-03,returning
2017-10-01,2017-10,2017,10,6.0,Blackzim,5004.0,2017-03,returning
2017-10-01,2017-10,2017,10,68.0,Streethex,18144.0,2017-03,returning
2017-03-01,2017-03,2017,3,24.0,Finjob,17069.0,2017-03,new
2017-03-01,2017-03,2017,3,61.0,Scotfind,16116.0,2017-03,new
2017-03-01,2017-03,2017,3,28.0,Genco Pura Olive Oil Company,16666.0,2017-03,new
2017-03-01,2017-03,2017,3,53.0,Opentech,17990.0,2017-03,new
2017-03-01,2017-03,2017,3,32.0,Goodsilron,34058.0,2017-03,new
2017-03-01,2017-03,2017,3,57.0,Rangreen,12412.0,2017-03,new
2017-03-01,2017-03,2017,3,72.0,Toughzap,10727.0,2017-03,new
2017-03-01,2017-03,2017,3,52.0,Ontomedia,31186.0,2017-03,new
2017-03-01,2017-03,2017,3,16.0,Domzoom,10606.0,2017-03,new
2017-03-01,2017-03,2017,3,48.0,Massive Dynamic,9191.0,2017-03,new
2017-03-01,2017-03,2017,3,78.0,Xx-zobam,15045.0,2017-03,new
2017-05-01,2017-05,2017,5,50.0,Nam-zim,17197.0,2017-03,returning
2017-05-01,2017-05,2017,5,37.0,Initech,8684.0,2017-03,returning
2017-05-01,2017-05,2017,5,75.0,Vehement Capital Partners,10796.0,2017-03,returning
2017-05-01,2017-05,2017,5,12.0,Condax,10619.0,2017-03,returning
2017-05-01,2017-05,2017,5,8.0,Bubba Gump,24889.0,2017-03,returning
2017-05-01,2017-05,2017,5,2.0,Betasoloin,24768.0,2017-03,returning
2017-06-01,2017-06,2017,6,1.0,Acme Corporation,23707.0,2017-03,returning
2017-05-01,2017-05,2017,5,66.0,Stanredtax,982.0,2017-03,returning
2017-06-01,2017-06,2017,6,22.0,Faxquote,12240.0,2017-03,returning
2017-06-01,2017-06,2017,6,25.0,Funholding,17669.0,2017-03,returning
2017-06-01,2017-06,2017,6,82.0,Zencorporation,18215.0,2017-03,returning
2017-06-01,2017-06,2017,6,48.0,Massive Dynamic,11859.0,2017-03,returning
2017-06-01,2017-06,2017,6,9.0,Cancity,10405.0,2017-03,returning
2017-05-01,2017-05,2017,5,85.0,Zumgoity,10767.0,2017-03,returning
2017-06-01,2017-06,2017,6,8.0,Bubba Gump,2102.0,2017-03,returning
2017-06-01,2017-06,2017,6,76.0,Warephase,19144.0,2017-03,returning
2017-06-01,2017-06,2017,6,26.0,Ganjaflex,19994.0,2017-03,returning
2017-04-01,2017-04,2017,4,11.0,Codehow,8676.0,2017-03,returning
2017-04-01,2017-04,2017,4,71.0,The New York Inquirer,17764.0,2017-03,returning
2017-04-01,2017-04,2017,4,4.0,Bioholding,14564.0,2017-03,returning
2017-08-01,2017-08,2017,8,20.0,Donware,6456.0,2017-03,returning
2017-04-01,2017-04,2017,4,18.0,Donquadtech,8422.0,2017-03,returning
2017-04-01,2017-04,2017,4,45.0,Konmatfix,6088.0,2017-03,returning
2017-08-01,2017-08,2017,8,78.0,Xx-zobam,16004.0,2017-03,returning
2017-04-01,2017-04,2017,4,28.0,Genco Pura Olive Oil Company,14875.0,2017-03,returning
2017-08-01,2017-08,2017,8,1.0,Acme Corporation,7319.0,2017-03,returning
2017-09-01,2017-09,2017,9,57.0,Rangreen,22406.0,2017-03,returning
2017-08-01,2017-08,2017,8,18.0,Donquadtech,14846.0,2017-03,returning
2017-08-01,2017-08,2017,8,42.0,Kan-code,48584.0,2017-03,returning
2017-08-01,2017-08,2017,8,32.0,Goodsilron,12251.0,2017-03,returning
2017-08-01,2017-08,2017,8,48.0,Massive Dynamic,29214.0,2017-03,returning
2017-08-01,2017-08,2017,8,24.0,Finjob,29596.0,2017-03,returning
2017-09-01,2017-09,2017,9,40.0,Iselectrics,3062.0,2017-03,returning
2017-08-01,2017-08,2017,8,2.0,Betasoloin,1131.0,2017-03,returning
2017-09-01,2017-09,2017,9,49.0,Mathtouch,24991.0,2017-03,returning
2017-08-01,2017-08,2017,8,52.0,Ontomedia,53.0,2017-03,returning
2017-08-01,2017-08,2017,8,61.0,Scotfind,14489.0,2017-03,returning
2017-08-01,2017-08,2017,8,10.0,Cheers,9430.0,2017-03,returning
2017-09-01,2017-09,2017,9,71.0,The New York Inquirer,15146.0,2017-03,returning
2017-09-01,2017-09,2017,9,65.0,Sonron,12301.0,2017-03,returning
2017-09-01,2017-09,2017,9,37.0,Initech,9922.0,2017-03,returning
2017-06-01,2017-06,2017,6,55.0,Plusstrip,1118.0,2017-03,returning
2017-09-01,2017-09,2017,9,78.0,Xx-zobam,3730.0,2017-03,returning
2017-08-01,2017-08,2017,8,33.0,Green-Plus,8140.0,2017-03,returning
2017-07-01,2017-07,2017,7,48.0,Massive Dynamic,5432.0,2017-03,returning
2017-07-01,2017-07,2017,7,3.0,Betatech,13252.0,2017-03,returning
2017-07-01,2017-07,2017,7,78.0,Xx-zobam,9566.0,2017-03,returning
2017-07-01,2017-07,2017,7,60.0,Rundofase,9238.0,2017-03,returning
2017-07-01,2017-07,2017,7,46.0,Labdrill,8511.0,2017-03,returning
2017-07-01,2017-07,2017,7,82.0,Zencorporation,3406.0,2017-03,returning
2017-07-01,2017-07,2017,7,33.0,Green-Plus,6023.0,2017-03,returning
2017-07-01,2017-07,2017,7,22.0,Faxquote,9004.0,2017-03,returning
2017-07-01,2017-07,2017,7,24.0,Finjob,4025.0,2017-03,returning
2017-07-01,2017-07,2017,7,37.0,Initech,13055.0,2017-03,returning
2017-07-01,2017-07,2017,7,28.0,Genco Pura Olive Oil Company,9329.0,2017-03,returning
2017-07-01,2017-07,2017,7,79.0,Y-corporation,8526.0,2017-03,returning
2017-11-01,2017-11,2017,11,63.0,Silis,9414.0,2017-03,returning
2017-08-01,2017-08,2017,8,85.0,Zumgoity,4861.0,2017-03,returning
2017-11-01,2017-11,2017,11,12.0,Condax,28996.0,2017-03,returning
2017-12-01,2017-12,2017,12,62.0,Scottech,17449.0,2017-03,returning
2017-12-01,2017-12,2017,12,27.0,Gekko & Co,23689.0,2017-03,returning
2017-12-01,2017-12,2017,12,29.0,Globex Corporation,8226.0,2017-03,returning
2017-12-01,2017-12,2017,12,78.0,Xx-zobam,12114.0,2017-03,returning
2017-12-01,2017-12,2017,12,1.0,Acme Corporation,21096.0,2017-03,returning
2017-12-01,2017-12,2017,12,25.0,Funholding,15059.0,2017-03,returning
2017-12-01,2017-12,2017,12,73.0,Treequote,30381.0,2017-03,returning
2017-11-01,2017-11,2017,11,14.0,Dalttechnology,14343.0,2017-03,returning
2017-12-01,2017-12,2017,12,13.0,Conecom,17903.0,2017-03,returning
2017-12-01,2017-12,2017,12,46.0,Labdrill,18768.0,2017-03,returning
2017-11-01,2017-11,2017,11,58.0,Rantouch,10762.0,2017-03,returning
2017-11-01,2017-11,2017,11,4.0,Bioholding,12222.0,2017-03,returning
2017-11-01,2017-11,2017,11,70.0,Sunnamplex,15277.0,2017-03,returning
2017-12-01,2017-12,2017,12,18.0,Donquadtech,13617.0,2017-03,returning
2017-11-01,2017-11,2017,11,9.0,Cancity,12249.0,2017-03,returning
2017-12-01,2017-12,2017,12,4.0,Bioholding,7530.0,2017-03,returning
2017-12-01,2017-12,2017,12,67.0,Statholdings,9988.0,2017-03,returning
2017-11-01,2017-11,2017,11,49.0,Mathtouch,10192.0,2017-03,returning
2017-12-01,2017-12,2017,12,85.0,Zumgoity,4943.0,2017-03,returning
2017-12-01,2017-12,2017,12,55.0,Plusstrip,23411.0,2017-03,returning
2017-09-01,2017-09,2017,9,46.0,Labdrill,4114.0,2017-03,returning
2017-12-01,2017-12,2017,12,41.0,J-Texon,16238.0,2017-03,returning
2017-10-01,2017-10,2017,10,20.0,Donware,5129.0,2017-03,returning
2017-11-01,2017-11,2017,11,37.0,Initech,4561.0,2017-03,returning
2017-12-01,2017-12,2017,12,70.0,Sunnamplex,1139.0,2017-03,returning
2017-10-01,2017-10,2017,10,64.0,Singletechno,16623.0,2017-03,returning
2017-10-01,2017-10,2017,10,39.0,Isdom,11431.0,2017-03,returning
2017-10-01,2017-10,2017,10,12.0,Condax,7322.0,2017-03,returning
2017-10-01,2017-10,2017,10,17.0,Doncon,3499.0,2017-03,returning
2017-10-01,2017-10,2017,10,30.0,Gogozoom,6592.0,2017-03,returning
2017-10-01,2017-10,2017,10,52.0,Ontomedia,58.0,2017-03,returning
2017-10-01,2017-10,2017,10,16.0,Domzoom,4719.0,2017-03,returning
2017-03-01,2017-03,2017,3,76.0,Warephase,9827.0,2017-03,new
2017-03-01,2017-03,2017,3,83.0,Zoomit,33123.0,2017-03,new
2017-03-01,2017-03,2017,3,14.0,Dalttechnology,11073.0,2017-03,new
2017-03-01,2017-03,2017,3,56.0,Plussunin,11468.0,2017-03,new
2017-03-01,2017-03,2017,3,37.0,Initech,5603.0,2017-03,new
2017-03-01,2017-03,2017,3,50.0,Nam-zim,11621.0,2017-03,new
2017-03-01,2017-03,2017,3,64.0,Singletechno,28300.0,2017-03,new
2017-05-01,2017-05,2017,5,70.0,Sunnamplex,18780.0,2017-03,returning
2017-05-01,2017-05,2017,5,34.0,Groovestreet,10273.0,2017-03,returning
2017-05-01,2017-05,2017,5,47.0,Lexiqvolax,5792.0,2017-03,returning
2017-06-01,2017-06,2017,6,31.0,Golddex,6194.0,2017-03,returning
2017-06-01,2017-06,2017,6,23.0,Finhigh,21902.0,2017-03,returning
2017-06-01,2017-06,2017,6,65.0,Sonron,16392.0,2017-03,returning
2017-06-01,2017-06,2017,6,61.0,Scotfind,27811.0,2017-03,returning
2017-05-01,2017-05,2017,5,59.0,Ron-tech,14221.0,2017-03,returning
2017-05-01,2017-05,2017,5,10.0,Cheers,9200.0,2017-03,returning
2017-05-01,2017-05,2017,5,46.0,Labdrill,7433.0,2017-03,returning
2017-05-01,2017-05,2017,5,82.0,Zencorporation,16099.0,2017-03,returning
2017-05-01,2017-05,2017,5,48.0,Massive Dynamic,533.0,2017-03,returning
2017-05-01,2017-05,2017,5,28.0,Genco Pura Olive Oil Company,11354.0,2017-03,returning
2017-06-01,2017-06,2017,6,21.0,Fasehatice,21754.0,2017-03,returning
2017-06-01,2017-06,2017,6,4.0,Bioholding,2345.0,2017-03,returning
2017-05-01,2017-05,2017,5,55.0,Plusstrip,4668.0,2017-03,returning
2017-06-01,2017-06,2017,6,78.0,Xx-zobam,27908.0,2017-03,returning
2017-05-01,2017-05,2017,5,23.0,Finhigh,13047.0,2017-03,returning
2017-04-01,2017-04,2017,4,15.0,dambase,13631.0,2017-03,returning
2017-04-01,2017-04,2017,4,85.0,Zumgoity,5005.0,2017-03,returning
2017-04-01,2017-04,2017,4,49.0,Mathtouch,10456.0,2017-03,returning
2017-04-01,2017-04,2017,4,76.0,Warephase,6574.0,2017-03,returning
2017-04-01,2017-04,2017,4,81.0,Zathunicon,5221.0,2017-03,returning
2017-04-01,2017-04,2017,4,54.0,Plexzap,22017.0,2017-03,returning
2017-04-01,2017-04,2017,4,16.0,Domzoom,11463.0,2017-03,returning
2017-04-01,2017-04,2017,4,40.0,Iselectrics,17247.0,2017-03,returning
2017-04-01,2017-04,2017,4,39.0,Isdom,9140.0,2017-03,returning
2017-06-01,2017-06,2017,6,80.0,Yearin,10860.0,2017-03,returning
2017-08-01,2017-08,2017,8,12.0,Condax,19820.0,2017-03,returning
2017-04-01,2017-04,2017,4,77.0,Xx-holding,17603.0,2017-03,returning
2017-08-01,2017-08,2017,8,84.0,Zotware,19675.0,2017-03,returning
2017-04-01,2017-04,2017,4,46.0,Labdrill,3358.0,2017-03,returning
2017-06-01,2017-06,2017,6,20.0,Donware,587.0,2017-03,returning
2017-09-01,2017-09,2017,9,60.0,Rundofase,15770.0,2017-03,returning
2017-08-01,2017-08,2017,8,73.0,Treequote,16919.0,2017-03,returning
2017-08-01,2017-08,2017,8,31.0,Golddex,13834.0,2017-03,returning
2017-09-01,2017-09,2017,9,84.0,Zotware,20773.0,2017-03,returning
2017-09-01,2017-09,2017,9,9.0,Cancity,18360.0,2017-03,returning
2017-09-01,2017-09,2017,9,34.0,Groovestreet,23053.0,2017-03,returning
2017-09-01,2017-09,2017,9,12.0,Condax,23758.0,2017-03,returning
2017-09-01,2017-09,2017,9,8.0,Bubba Gump,9299.0,2017-03,returning
2017-08-01,2017-08,2017,8,81.0,Zathunicon,4336.0,2017-03,returning
2017-09-01,2017-09,2017,9,13.0,Conecom,19130.0,2017-03,returning
2017-08-01,2017-08,2017,8,65.0,Sonron,11166.0,2017-03,returning
2017-09-01,2017-09,2017,9,7.0,Bluth Company,5961.0,2017-05,returning
2017-09-01,2017-09,2017,9,36.0,Hottechi,19026.0,2017-03,returning
2017-09-01,2017-09,2017,9,16.0,Domzoom,9126.0,2017-03,returning
2017-08-01,2017-08,2017,8,17.0,Doncon,5290.0,2017-03,returning
2017-09-01,2017-09,2017,9,56.0,Plussunin,12573.0,2017-03,returning
2017-09-01,2017-09,2017,9,69.0,Sumace,6710.0,2017-03,returning
2017-07-01,2017-07,2017,7,39.0,Isdom,31446.0,2017-03,returning
2017-07-01,2017-07,2017,7,23.0,Finhigh,10672.0,2017-03,returning
2017-07-01,2017-07,2017,7,13.0,Conecom,14010.0,2017-03,returning
2017-09-01,2017-09,2017,9,14.0,Dalttechnology,6945.0,2017-03,returning
2017-07-01,2017-07,2017,7,67.0,Statholdings,5287.0,2017-03,returning
2017-07-01,2017-07,2017,7,51.0,Newex,4967.0,2017-03,returning
2017-07-01,2017-07,2017,7,32.0,Goodsilron,21245.0,2017-03,returning
2017-07-01,2017-07,2017,7,17.0,Doncon,10249.0,2017-03,returning
2017-07-01,2017-07,2017,7,81.0,Zathunicon,7882.0,2017-03,returning
2017-09-01,2017-09,2017,9,19.0,Dontechi,9682.0,2017-03,returning
2017-11-01,2017-11,2017,11,72.0,Toughzap,511.0,2017-03,returning
2017-07-01,2017-07,2017,7,63.0,Silis,6601.0,2017-03,returning
2017-09-01,2017-09,2017,9,30.0,Gogozoom,469.0,2017-03,returning
2017-11-01,2017-11,2017,11,66.0,Stanredtax,11439.0,2017-03,returning
2017-11-01,2017-11,2017,11,27.0,Gekko & Co,12282.0,2017-03,returning
2017-11-01,2017-11,2017,11,38.0,Inity,21191.0,2017-03,returning
2017-11-01,2017-11,2017,11,80.0,Yearin,5213.0,2017-03,returning
2017-11-01,2017-11,2017,11,1.0,Acme Corporation,1215.0,2017-03,returning
2017-11-01,2017-11,2017,11,11.0,Codehow,12379.0,2017-03,returning
2017-12-01,2017-12,2017,12,66.0,Stanredtax,28794.0,2017-03,returning
2017-12-01,2017-12,2017,12,71.0,The New York Inquirer,14196.0,2017-03,returning
2017-12-01,2017-12,2017,12,24.0,Finjob,17573.0,2017-03,returning
2017-11-01,2017-11,2017,11,53.0,Opentech,10837.0,2017-03,returning
2017-12-01,2017-12,2017,12,72.0,Toughzap,21134.0,2017-03,returning
2017-10-01,2017-10,2017,10,10.0,Cheers,45068.0,2017-03,returning
2017-10-01,2017-10,2017,10,38.0,Inity,16390.0,2017-03,returning
2017-10-01,2017-10,2017,10,67.0,Statholdings,7586.0,2017-03,returning
2017-10-01,2017-10,2017,10,45.0,Konmatfix,5760.0,2017-03,returning
2017-10-01,2017-10,2017,10,8.0,Bubba Gump,10375.0,2017-03,returning
2017-12-01,2017-12,2017,12,77.0,Xx-holding,39144.0,2017-03,returning
2017-10-01,2017-10,2017,10,29.0,Globex Corporation,8766.0,2017-03,returning
2017-10-01,2017-10,2017,10,78.0,Xx-zobam,9545.0,2017-03,returning
2017-10-01,2017-10,2017,10,37.0,Initech,5383.0,2017-03,returning
2017-10-01,2017-10,2017,10,27.0,Gekko & Co,4082.0,2017-03,returning
2017-03-01,2017-03,2017,3,35.0,Hatfan,19661.0,2017-03,new
2017-03-01,2017-03,2017,3,41.0,J-Texon,3483.0,2017-03,new
2017-03-01,2017-03,2017,3,70.0,Sunnamplex,18414.0,2017-03,new
2017-03-01,2017-03,2017,3,23.0,Finhigh,13412.0,2017-03,new
2017-03-01,2017-03,2017,3,42.0,Kan-code,21536.0,2017-03,new
2017-03-01,2017-03,2017,3,79.0,Y-corporation,16849.0,2017-03,new
2017-03-01,2017-03,2017,3,5.0,Bioplex,4094.0,2017-03,new
2017-03-01,2017-03,2017,3,74.0,Umbrella Corporation,19213.0,2017-03,new
2017-03-01,2017-03,2017,3,19.0,Dontechi,12612.0,2017-03,new
2017-03-01,2017-03,2017,3,62.0,Scottech,1222.0,2017-03,new
2017-03-01,2017-03,2017,3,84.0,Zotware,12321.0,2017-03,new
2017-03-01,2017-03,2017,3,27.0,Gekko & Co,17717.0,2017-03,new
2017-03-01,2017-03,2017,3,47.0,Lexiqvolax,10228.0,2017-03,new
2017-03-01,2017-03,2017,3,43.0,Kinnamplus,6136.0,2017-03,new
2017-03-01,2017-03,2017,3,20.0,Donware,3586.0,2017-03,new
2017-03-01,2017-03,2017,3,68.0,Streethex,2256.0,2017-03,new
2017-03-01,2017-03,2017,3,51.0,Newex,11511.0,2017-03,new
2017-05-01,2017-05,2017,5,76.0,Warephase,21928.0,2017-03,returning
2017-06-01,2017-06,2017,6,36.0,Hottechi,21699.0,2017-03,returning
2017-06-01,2017-06,2017,6,42.0,Kan-code,43275.0,2017-03,returning
2017-05-01,2017-05,2017,5,43.0,Kinnamplus,10045.0,2017-03,returning
2017-05-01,2017-05,2017,5,78.0,Xx-zobam,30106.0,2017-03,returning
2017-05-01,2017-05,2017,5,41.0,J-Texon,12871.0,2017-03,returning
2017-06-01,2017-06,2017,6,32.0,Goodsilron,36108.0,2017-03,returning
2017-05-01,2017-05,2017,5,39.0,Isdom,7430.0,2017-03,returning
2017-05-01,2017-05,2017,5,49.0,Mathtouch,15361.0,2017-03,returning
2017-05-01,2017-05,2017,5,27.0,Gekko & Co,12159.0,2017-03,returning
2017-06-01,2017-06,2017,6,24.0,Finjob,5890.0,2017-03,returning
2017-06-01,2017-06,2017,6,64.0,Singletechno,20873.0,2017-03,returning
2017-06-01,2017-06,2017,6,19.0,Dontechi,18996.0,2017-03,returning
2017-05-01,2017-05,2017,5,58.0,Rantouch,4625.0,2017-03,returning
2017-06-01,2017-06,2017,6,81.0,Zathunicon,12594.0,2017-03,returning
2017-06-01,2017-06,2017,6,10.0,Cheers,41201.0,2017-03,returning
2017-05-01,2017-05,2017,5,84.0,Zotware,5702.0,2017-03,returning
2017-06-01,2017-06,2017,6,60.0,Rundofase,16030.0,2017-03,returning
2017-06-01,2017-06,2017,6,85.0,Zumgoity,15610.0,2017-03,returning
2017-05-01,2017-05,2017,5,16.0,Domzoom,14154.0,2017-03,returning
2017-06-01,2017-06,2017,6,30.0,Gogozoom,18490.0,2017-03,returning
2017-06-01,2017-06,2017,6,16.0,Domzoom,8746.0,2017-03,returning
2017-06-01,2017-06,2017,6,14.0,Dalttechnology,13847.0,2017-03,returning
2017-06-01,2017-06,2017,6,28.0,Genco Pura Olive Oil Company,11960.0,2017-03,returning
2017-06-01,2017-06,2017,6,73.0,Treequote,24083.0,2017-03,returning
2017-05-01,2017-05,2017,5,4.0,Bioholding,1137.0,2017-03,returning
2017-04-01,2017-04,2017,4,29.0,Globex Corporation,14036.0,2017-03,returning
2017-06-01,2017-06,2017,6,38.0,Inity,9444.0,2017-03,returning
2017-04-01,2017-04,2017,4,36.0,Hottechi,13069.0,2017-03,returning
2017-04-01,2017-04,2017,4,70.0,Sunnamplex,18376.0,2017-03,returning
2017-05-01,2017-05,2017,5,62.0,Scottech,6631.0,2017-03,returning
2017-04-01,2017-04,2017,4,56.0,Plussunin,15998.0,2017-03,returning
2017-04-01,2017-04,2017,4,50.0,Nam-zim,52.0,2017-03,returning
2017-04-01,2017-04,2017,4,48.0,Massive Dynamic,1088.0,2017-03,returning
2017-08-01,2017-08,2017,8,27.0,Gekko & Co,6837.0,2017-03,returning
2017-08-01,2017-08,2017,8,8.0,Bubba Gump,4823.0,2017-03,returning
2017-05-01,2017-05,2017,5,53.0,Opentech,16091.0,2017-03,returning
2017-08-01,2017-08,2017,8,56.0,Plussunin,30097.0,2017-03,returning
2017-09-01,2017-09,2017,9,50.0,Nam-zim,11223.0,2017-03,returning
2017-08-01,2017-08,2017,8,46.0,Labdrill,11919.0,2017-03,returning
2017-08-01,2017-08,2017,8,47.0,Lexiqvolax,5221.0,2017-03,returning
2017-08-01,2017-08,2017,8,51.0,Newex,12992.0,2017-03,returning
2017-08-01,2017-08,2017,8,59.0,Ron-tech,6988.0,2017-03,returning
2017-06-01,2017-06,2017,6,66.0,Stanredtax,8347.0,2017-03,returning
2017-08-01,2017-08,2017,8,79.0,Y-corporation,6579.0,2017-03,returning
2017-08-01,2017-08,2017,8,43.0,Kinnamplus,14756.0,2017-03,returning
2017-08-01,2017-08,2017,8,25.0,Funholding,15281.0,2017-03,returning
2017-08-01,2017-08,2017,8,7.0,Bluth Company,5559.0,2017-05,returning
2017-09-01,2017-09,2017,9,83.0,Zoomit,14789.0,2017-03,returning
