date,year_month,year,month,product_key,product,series,closed_won_revenue,pipeline_value,avg_predicted_win_probability
2017-09-01,2017-09,2017,9,3,MG Special,MG,4964.0,4964.0,0.6627611231154881
2017-03-01,2017-03,2017,3,1,GTX Basic,GTX,69204.0,69204.0,0.8162205512457675
2017-03-01,2017-03,2017,3,7,GTK 500,GTK,25897.0,25897.0,1.0
2017-06-01,2017-06,2017,6,3,MG Special,MG,5029.0,5029.0,0.6755762974883517
2017-06-01,2017-06,2017,6,6,GTX Plus Basic,GTX,94736.0,94736.0,0.8421150411897856
2017-08-01,2017-08,2017,8,3,MG Special,MG,4415.0,4415.0,0.6384093271553037
2017-09-01,2017-09,2017,9,4,MG Advanced,MG,250431.0,250431.0,0.7905359148226759
2017-07-01,2017-07,2017,7,1,GTX Basic,GTX,32896.0,32896.0,0.5091964593820768
2017-11-01,2017-11,2017,11,2,GTX Pro,GTX,316471.0,316471.0,0.5259239885306325
2017-07-01,2017-07,2017,7,7,GTK 500,GTK,0.0,0.0,0.014706074473964305
2017-10-01,2017-10,2017,10,4,MG Advanced,MG,172529.0,172529.0,0.5384836965335913
2017-05-01,2017-05,2017,5,5,GTX Plus Pro,GTX,312946.0,312946.0,0.6324849488712238
2017-04-01,2017-04,2017,4,6,GTX Plus Basic,GTX,41009.0,41009.0,0.4748447726079698
2017-04-01,2017-04,2017,4,2,GTX Pro,GTX,272451.0,272451.0,0.535065080767183
2017-04-01,2017-04,2017,4,4,MG Advanced,MG,129212.0,129212.0,0.414974578374682
2017-08-01,2017-08,2017,8,5,GTX Plus Pro,GTX,246837.0,246837.0,0.5944514726922778
2017-09-01,2017-09,2017,9,6,GTX Plus Basic,GTX,76739.0,76739.0,0.752841192297355
2017-09-01,2017-09,2017,9,7,GTK 500,GTK,29166.0,29166.0,1.0
2017-07-01,2017-07,2017,7,2,GTX Pro,GTX,253735.0,253735.0,0.4623351531403227
2017-11-01,2017-11,2017,11,5,GTX Plus Pro,GTX,271041.0,271041.0,0.5082459494430782
2017-11-01,2017-11,2017,11,6,GTX Plus Basic,GTX,62403.0,62403.0,0.47231327402204176
2017-12-01,2017-12,2017,12,6,GTX Plus Basic,GTX,82913.0,82913.0,0.6847818360947222
2017-10-01,2017-10,2017,10,3,MG Special,MG,2758.0,2758.0,0.5836133603793144
2017-03-01,2017-03,2017,3,4,MG Advanced,MG,290207.0,290207.0,0.801118054466192
2017-05-01,2017-05,2017,5,6,GTX Plus Basic,GTX,59517.0,59517.0,0.5169238272770825
2017-09-01,2017-09,2017,9,5,GTX Plus Pro,GTX,325614.0,325614.0,0.7984580252676293
2017-07-01,2017-07,2017,7,4,MG Advanced,MG,147623.0,147623.0,0.3968117054574428
2017-11-01,2017-11,2017,11,4,MG Advanced,MG,207547.0,207547.0,0.5239669185294797
2017-12-01,2017-12,2017,12,4,MG Advanced,MG,239086.0,239086.0,0.680696548081626
2017-10-01,2017-10,2017,10,5,GTX Plus Pro,GTX,191987.0,191987.0,0.5595743538933065
2017-05-01,2017-05,2017,5,1,GTX Basic,GTX,57705.0,57705.0,0.5792089822425504
2017-04-01,2017-04,2017,4,3,MG Special,MG,3086.0,3086.0,0.5794940696726641
2017-08-01,2017-08,2017,8,4,MG Advanced,MG,227009.0,227009.0,0.5415520217604355
2017-09-01,2017-09,2017,9,1,GTX Basic,GTX,59155.0,59155.0,0.7402154356155651
2017-07-01,2017-07,2017,7,5,GTX Plus Pro,GTX,203155.0,203155.0,0.46681567853814243
2017-12-01,2017-12,2017,12,7,GTK 500,GTK,29220.0,29220.0,1.0
2017-03-01,2017-03,2017,3,6,GTX Plus Basic,GTX,88512.0,88512.0,0.8036508977670657
2017-05-01,2017-05,2017,5,3,MG Special,MG,4269.0,4269.0,0.6148153401795694
2017-05-01,2017-05,2017,5,7,GTK 500,GTK,0.0,0.0,0.022670216763602133
2017-04-01,2017-04,2017,4,5,GTX Plus Pro,GTX,194577.0,194577.0,0.5325074619475824
2017-08-01,2017-08,2017,8,2,GTX Pro,GTX,353669.0,353669.0,0.5350196489466799
2017-09-01,2017-09,2017,9,2,GTX Pro,GTX,489195.0,489195.0,0.8565538175948646
2017-07-01,2017-07,2017,7,3,MG Special,MG,3370.0,3370.0,0.6027083903448651
2017-11-01,2017-11,2017,11,1,GTX Basic,GTX,50933.0,50933.0,0.592772482259444
2017-11-01,2017-11,2017,11,3,MG Special,MG,4362.0,4362.0,0.6450899131536174
2017-12-01,2017-12,2017,12,2,GTX Pro,GTX,377005.0,377005.0,0.8220775722100003
2017-10-01,2017-10,2017,10,1,GTX Basic,GTX,23589.0,23589.0,0.4253885912968666
2017-10-01,2017-10,2017,10,7,GTK 500,GTK,27971.0,27971.0,0.509620174928916
