date,date_key,year,quarter,month,month_name,year_month,week,day_of_month,day_of_week,is_weekend,financial_year
2016-11-26,20161126,2016,Q4,11,November,2016-11,47,26,Saturday,True,2017
2016-11-27,20161127,2016,Q4,11,November,2016-11,47,27,Sunday,True,2017
2016-11-28,20161128,2016,Q4,11,November,2016-11,48,28,Monday,False,2017
2016-11-29,20161129,2016,Q4,11,November,2016-11,48,29,Tuesday,False,2017
2016-11-30,20161130,2016,Q4,11,November,2016-11,48,30,Wednesday,False,2017
2016-12-01,20161201,2016,Q4,12,December,2016-12,48,1,Thursday,False,2017
2016-12-02,20161202,2016,Q4,12,December,2016-12,48,2,Friday,False,2017
2016-12-03,20161203,2016,Q4,12,December,2016-12,48,3,Saturday,True,2017
2016-12-04,20161204,2016,Q4,12,December,2016-12,48,4,Sunday,True,2017
2016-12-05,20161205,2016,Q4,12,December,2016-12,49,5,Monday,False,2017
2016-12-06,20161206,2016,Q4,12,December,2016-12,49,6,Tuesday,False,2017
2016-12-07,20161207,2016,Q4,12,December,2016-12,49,7,Wednesday,False,2017
2016-12-08,20161208,2016,Q4,12,December,2016-12,49,8,Thursday,False,2017
2016-12-09,20161209,2016,Q4,12,December,2016-12,49,9,Friday,False,2017
2016-12-10,20161210,2016,Q4,12,December,2016-12,49,10,Saturday,True,2017
2016-12-11,20161211,2016,Q4,12,December,2016-12,49,11,Sunday,True,2017
2016-12-12,20161212,2016,Q4,12,December,2016-12,50,12,Monday,False,2017
2016-12-13,20161213,2016,Q4,12,December,2016-12,50,13,Tuesday,False,2017
2016-12-14,20161214,2016,Q4,12,December,2016-12,50,14,Wednesday,False,2017
2016-12-15,20161215,2016,Q4,12,December,2016-12,50,15,Thursday,False,2017
2016-12-16,20161216,2016,Q4,12,December,2016-12,50,16,Friday,False,2017
2016-12-17,20161217,2016,Q4,12,December,2016-12,50,17,Saturday,True,2017
2016-12-18,20161218,2016,Q4,12,December,2016-12,50,18,Sunday,True,2017
2016-12-19,20161219,2016,Q4,12,December,2016-12,51,19,Monday,False,2017
2016-12-20,20161220,2016,Q4,12,December,2016-12,51,20,Tuesday,False,2017
2016-12-21,20161221,2016,Q4,12,December,2016-12,51,21,Wednesday,False,2017
2016-12-22,20161222,2016,Q4,12,December,2016-12,51,22,Thursday,False,2017
2016-12-23,20161223,2016,Q4,12,December,2016-12,51,23,Friday,False,2017
2016-12-24,20161224,2016,Q4,12,December,2016-12,51,24,Saturday,True,2017
2016-12-25,20161225,2016,Q4,12,December,2016-12,51,25,Sunday,True,2017
2016-12-26,20161226,2016,Q4,12,December,2016-12,52,26,Monday,False,2017
2016-12-27,20161227,2016,Q4,12,December,2016-12,52,27,Tuesday,False,2017
2016-12-28,20161228,2016,Q4,12,December,2016-12,52,28,Wednesday,False,2017
2016-12-29,20161229,2016,Q4,12,December,2016-12,52,29,Thursday,False,2017
2016-12-30,20161230,2016,Q4,12,December,2016-12,52,30,Friday,False,2017
2016-12-31,20161231,2016,Q4,12,December,2016-12,52,31,Saturday,True,2017
2017-01-01,20170101,2017,Q1,1,January,2017-01,52,1,Sunday,True,2017
2017-01-02,20170102,2017,Q1,1,January,2017-01,1,2,Monday,False,2017
2017-01-03,20170103,2017,Q1,1,January,2017-01,1,3,Tuesday,False,2017
2017-01-04,20170104,2017,Q1,1,January,2017-01,1,4,Wednesday,False,2017
2017-01-05,20170105,2017,Q1,1,January,2017-01,1,5,Thursday,False,2017
2017-01-06,20170106,2017,Q1,1,January,2017-01,1,6,Friday,False,2017
2017-01-07,20170107,2017,Q1,1,January,2017-01,1,7,Saturday,True,2017
2017-01-08,20170108,2017,Q1,1,January,2017-01,1,8,Sunday,True,2017
2017-01-09,20170109,2017,Q1,1,January,2017-01,2,9,Monday,False,2017
2017-01-10,20170110,2017,Q1,1,January,2017-01,2,10,Tuesday,False,2017
2017-01-11,20170111,2017,Q1,1,January,2017-01,2,11,Wednesday,False,2017
2017-01-12,20170112,2017,Q1,1,January,2017-01,2,12,Thursday,False,2017
2017-01-13,20170113,2017,Q1,1,January,2017-01,2,13,Friday,False,2017
2017-01-14,20170114,2017,Q1,1,January,2017-01,2,14,Saturday,True,2017
2017-01-15,20170115,2017,Q1,1,January,2017-01,2,15,Sunday,True,2017
2017-01-16,20170116,2017,Q1,1,January,2017-01,3,16,Monday,False,2017
2017-01-17,20170117,2017,Q1,1,January,2017-01,3,17,Tuesday,False,2017
2017-01-18,20170118,2017,Q1,1,January,2017-01,3,18,Wednesday,False,2017
2017-01-19,20170119,2017,Q1,1,January,2017-01,3,19,Thursday,False,2017
2017-01-20,20170120,2017,Q1,1,January,2017-01,3,20,Friday,False,2017
2017-01-21,20170121,2017,Q1,1,January,2017-01,3,21,Saturday,True,2017
2017-01-22,20170122,2017,Q1,1,January,2017-01,3,22,Sunday,True,2017
2017-01-23,20170123,2017,Q1,1,January,2017-01,4,23,Monday,False,2017
2017-01-24,20170124,2017,Q1,1,January,2017-01,4,24,Tuesday,False,2017
2017-01-25,20170125,2017,Q1,1,January,2017-01,4,25,Wednesday,False,2017
2017-01-26,20170126,2017,Q1,1,January,2017-01,4,26,Thursday,False,2017
2017-01-27,20170127,2017,Q1,1,January,2017-01,4,27,Friday,False,2017
2017-01-28,20170128,2017,Q1,1,January,2017-01,4,28,Saturday,True,2017
2017-01-29,20170129,2017,Q1,1,January,2017-01,4,29,Sunday,True,2017
2017-01-30,20170130,2017,Q1,1,January,2017-01,5,30,Monday,False,2017
2017-01-31,20170131,2017,Q1,1,January,2017-01,5,31,Tuesday,False,2017
2017-02-01,20170201,2017,Q1,2,February,2017-02,5,1,Wednesday,False,2017
2017-02-02,20170202,2017,Q1,2,February,2017-02,5,2,Thursday,False,2017
2017-02-03,20170203,2017,Q1,2,February,2017-02,5,3,Friday,False,2017
2017-02-04,20170204,2017,Q1,2,February,2017-02,5,4,Saturday,True,2017
2017-02-05,20170205,2017,Q1,2,February,2017-02,5,5,Sunday,True,2017
2017-02-06,20170206,2017,Q1,2,February,2017-02,6,6,Monday,False,2017
2017-02-07,20170207,2017,Q1,2,February,2017-02,6,7,Tuesday,False,2017
2017-02-08,20170208,2017,Q1,2,February,2017-02,6,8,Wednesday,False,2017
2017-02-09,20170209,2017,Q1,2,February,2017-02,6,9,Thursday,False,2017
2017-02-10,20170210,2017,Q1,2,February,2017-02,6,10,Friday,False,2017
2017-02-11,20170211,2017,Q1,2,February,2017-02,6,11,Saturday,True,2017
2017-02-12,20170212,2017,Q1,2,February,2017-02,6,12,Sunday,True,2017
2017-02-13,20170213,2017,Q1,2,February,2017-02,7,13,Monday,False,2017
2017-02-14,20170214,2017,Q1,2,February,2017-02,7,14,Tuesday,False,2017
2017-02-15,20170215,2017,Q1,2,February,2017-02,7,15,Wednesday,False,2017
2017-02-16,20170216,2017,Q1,2,February,2017-02,7,16,Thursday,False,2017
2017-02-17,20170217,2017,Q1,2,February,2017-02,7,17,Friday,False,2017
2017-02-18,20170218,2017,Q1,2,February,2017-02,7,18,Saturday,True,2017
2017-02-19,20170219,2017,Q1,2,February,2017-02,7,19,Sunday,True,2017
2017-02-20,20170220,2017,Q1,2,February,2017-02,8,20,Monday,False,2017
2017-02-21,20170221,2017,Q1,2,February,2017-02,8,21,Tuesday,False,2017
2017-02-22,20170222,2017,Q1,2,February,2017-02,8,22,Wednesday,False,2017
2017-02-23,20170223,2017,Q1,2,February,2017-02,8,23,Thursday,False,2017
2017-02-24,20170224,2017,Q1,2,February,2017-02,8,24,Friday,False,2017
2017-02-25,20170225,2017,Q1,2,February,2017-02,8,25,Saturday,True,2017
2017-02-26,20170226,2017,Q1,2,February,2017-02,8,26,Sunday,True,2017
2017-02-27,20170227,2017,Q1,2,February,2017-02,9,27,Monday,False,2017
2017-02-28,20170228,2017,Q1,2,February,2017-02,9,28,Tuesday,False,2017
2017-03-01,20170301,2017,Q1,3,March,2017-03,9,1,Wednesday,False,2017
2017-03-02,20170302,2017,Q1,3,March,2017-03,9,2,Thursday,False,2017
2017-03-03,20170303,2017,Q1,3,March,2017-03,9,3,Friday,False,2017
2017-03-04,20170304,2017,Q1,3,March,2017-03,9,4,Saturday,True,2017
2017-03-05,20170305,2017,Q1,3,March,2017-03,9,5,Sunday,True,2017
2017-03-06,20170306,2017,Q1,3,March,2017-03,10,6,Monday,False,2017
2017-03-07,20170307,2017,Q1,3,March,2017-03,10,7,Tuesday,False,2017
2017-03-08,20170308,2017,Q1,3,March,2017-03,10,8,Wednesday,False,2017
2017-03-09,20170309,2017,Q1,3,March,2017-03,10,9,Thursday,False,2017
2017-03-10,20170310,2017,Q1,3,March,2017-03,10,10,Friday,False,2017
2017-03-11,20170311,2017,Q1,3,March,2017-03,10,11,Saturday,True,2017
2017-03-12,20170312,2017,Q1,3,March,2017-03,10,12,Sunday,True,2017
2017-03-13,20170313,2017,Q1,3,March,2017-03,11,13,Monday,False,2017
2017-03-14,20170314,2017,Q1,3,March,2017-03,11,14,Tuesday,False,2017
2017-03-15,20170315,2017,Q1,3,March,2017-03,11,15,Wednesday,False,2017
2017-03-16,20170316,2017,Q1,3,March,2017-03,11,16,Thursday,False,2017
2017-03-17,20170317,2017,Q1,3,March,2017-03,11,17,Friday,False,2017
2017-03-18,20170318,2017,Q1,3,March,2017-03,11,18,Saturday,True,2017
2017-03-19,20170319,2017,Q1,3,March,2017-03,11,19,Sunday,True,2017
2017-03-20,20170320,2017,Q1,3,March,2017-03,12,20,Monday,False,2017
2017-03-21,20170321,2017,Q1,3,March,2017-03,12,21,Tuesday,False,2017
2017-03-22,20170322,2017,Q1,3,March,2017-03,12,22,Wednesday,False,2017
2017-03-23,20170323,2017,Q1,3,March,2017-03,12,23,Thursday,False,2017
2017-03-24,20170324,2017,Q1,3,March,2017-03,12,24,Friday,False,2017
2017-03-25,20170325,2017,Q1,3,March,2017-03,12,25,Saturday,True,2017
2017-03-26,20170326,2017,Q1,3,March,2017-03,12,26,Sunday,True,2017
2017-03-27,20170327,2017,Q1,3,March,2017-03,13,27,Monday,False,2017
2017-03-28,20170328,2017,Q1,3,March,2017-03,13,28,Tuesday,False,2017
2017-03-29,20170329,2017,Q1,3,March,2017-03,13,29,Wednesday,False,2017
2017-03-30,20170330,2017,Q1,3,March,2017-03,13,30,Thursday,False,2017
2017-03-31,20170331,2017,Q1,3,March,2017-03,13,31,Friday,False,2017
2017-04-01,20170401,2017,Q2,4,April,2017-04,13,1,Saturday,True,2017
2017-04-02,20170402,2017,Q2,4,April,2017-04,13,2,Sunday,True,2017
2017-04-03,20170403,2017,Q2,4,April,2017-04,14,3,Monday,False,2017
2017-04-04,20170404,2017,Q2,4,April,2017-04,14,4,Tuesday,False,2017
2017-04-05,20170405,2017,Q2,4,April,2017-04,14,5,Wednesday,False,2017
2017-04-06,20170406,2017,Q2,4,April,2017-04,14,6,Thursday,False,2017
2017-04-07,20170407,2017,Q2,4,April,2017-04,14,7,Friday,False,2017
2017-04-08,20170408,2017,Q2,4,April,2017-04,14,8,Saturday,True,2017
2017-04-09,20170409,2017,Q2,4,April,2017-04,14,9,Sunday,True,2017
2017-04-10,20170410,2017,Q2,4,April,2017-04,15,10,Monday,False,2017
2017-04-11,20170411,2017,Q2,4,April,2017-04,15,11,Tuesday,False,2017
2017-04-12,20170412,2017,Q2,4,April,2017-04,15,12,Wednesday,False,2017
2017-04-13,20170413,2017,Q2,4,April,2017-04,15,13,Thursday,False,2017
2017-04-14,20170414,2017,Q2,4,April,2017-04,15,14,Friday,False,2017
2017-04-15,20170415,2017,Q2,4,April,2017-04,15,15,Saturday,True,2017
2017-04-16,20170416,2017,Q2,4,April,2017-04,15,16,Sunday,True,2017
2017-04-17,20170417,2017,Q2,4,April,2017-04,16,17,Monday,False,2017
2017-04-18,20170418,2017,Q2,4,April,2017-04,16,18,Tuesday,False,2017
2017-04-19,20170419,2017,Q2,4,April,2017-04,16,19,Wednesday,False,2017
2017-04-20,20170420,2017,Q2,4,April,2017-04,16,20,Thursday,False,2017
2017-04-21,20170421,2017,Q2,4,April,2017-04,16,21,Friday,False,2017
2017-04-22,20170422,2017,Q2,4,April,2017-04,16,22,Saturday,True,2017
2017-04-23,20170423,2017,Q2,4,April,2017-04,16,23,Sunday,True,2017
2017-04-24,20170424,2017,Q2,4,April,2017-04,17,24,Monday,False,2017
2017-04-25,20170425,2017,Q2,4,April,2017-04,17,25,Tuesday,False,2017
2017-04-26,20170426,2017,Q2,4,April,2017-04,17,26,Wednesday,False,2017
2017-04-27,20170427,2017,Q2,4,April,2017-04,17,27,Thursday,False,2017
2017-04-28,20170428,2017,Q2,4,April,2017-04,17,28,Friday,False,2017
2017-04-29,20170429,2017,Q2,4,April,2017-04,17,29,Saturday,True,2017
2017-04-30,20170430,2017,Q2,4,April,2017-04,17,30,Sunday,True,2017
2017-05-01,20170501,2017,Q2,5,May,2017-05,18,1,Monday,False,2017
2017-05-02,20170502,2017,Q2,5,May,2017-05,18,2,Tuesday,False,2017
2017-05-03,20170503,2017,Q2,5,May,2017-05,18,3,Wednesday,False,2017
2017-05-04,20170504,2017,Q2,5,May,2017-05,18,4,Thursday,False,2017
2017-05-05,20170505,2017,Q2,5,May,2017-05,18,5,Friday,False,2017
2017-05-06,20170506,2017,Q2,5,May,2017-05,18,6,Saturday,True,2017
2017-05-07,20170507,2017,Q2,5,May,2017-05,18,7,Sunday,True,2017
2017-05-08,20170508,2017,Q2,5,May,2017-05,19,8,Monday,False,2017
2017-05-09,20170509,2017,Q2,5,May,2017-05,19,9,Tuesday,False,2017
2017-05-10,20170510,2017,Q2,5,May,2017-05,19,10,Wednesday,False,2017
2017-05-11,20170511,2017,Q2,5,May,2017-05,19,11,Thursday,False,2017
2017-05-12,20170512,2017,Q2,5,May,2017-05,19,12,Friday,False,2017
2017-05-13,20170513,2017,Q2,5,May,2017-05,19,13,Saturday,True,2017
2017-05-14,20170514,2017,Q2,5,May,2017-05,19,14,Sunday,True,2017
2017-05-15,20170515,2017,Q2,5,May,2017-05,20,15,Monday,False,2017
2017-05-16,20170516,2017,Q2,5,May,2017-05,20,16,Tuesday,False,2017
2017-05-17,20170517,2017,Q2,5,May,2017-05,20,17,Wednesday,False,2017
2017-05-18,20170518,2017,Q2,5,May,2017-05,20,18,Thursday,False,2017
2017-05-19,20170519,2017,Q2,5,May,2017-05,20,19,Friday,False,2017
2017-05-20,20170520,2017,Q2,5,May,2017-05,20,20,Saturday,True,2017
2017-05-21,20170521,2017,Q2,5,May,2017-05,20,21,Sunday,True,2017
2017-05-22,20170522,2017,Q2,5,May,2017-05,21,22,Monday,False,2017
2017-05-23,20170523,2017,Q2,5,May,2017-05,21,23,Tuesday,False,2017
2017-05-24,20170524,2017,Q2,5,May,2017-05,21,24,Wednesday,False,2017
2017-05-25,20170525,2017,Q2,5,May,2017-05,21,25,Thursday,False,2017
2017-05-26,20170526,2017,Q2,5,May,2017-05,21,26,Friday,False,2017
2017-05-27,20170527,2017,Q2,5,May,2017-05,21,27,Saturday,True,2017
2017-05-28,20170528,2017,Q2,5,May,2017-05,21,28,Sunday,True,2017
2017-05-29,20170529,2017,Q2,5,May,2017-05,22,29,Monday,False,2017
2017-05-30,20170530,2017,Q2,5,May,2017-05,22,30,Tuesday,False,2017
2017-05-31,20170531,2017,Q2,5,May,2017-05,22,31,Wednesday,False,2017
2017-06-01,20170601,2017,Q2,6,June,2017-06,22,1,Thursday,False,2017
2017-06-02,20170602,2017,Q2,6,June,2017-06,22,2,Friday,False,2017
2017-06-03,20170603,2017,Q2,6,June,2017-06,22,3,Saturday,True,2017
2017-06-04,20170604,2017,Q2,6,June,2017-06,22,4,Sunday,True,2017
2017-06-05,20170605,2017,Q2,6,June,2017-06,23,5,Monday,False,2017
2017-06-06,20170606,2017,Q2,6,June,2017-06,23,6,Tuesday,False,2017
2017-06-07,20170607,2017,Q2,6,June,2017-06,23,7,Wednesday,False,2017
2017-06-08,20170608,2017,Q2,6,June,2017-06,23,8,Thursday,False,2017
2017-06-09,20170609,2017,Q2,6,June,2017-06,23,9,Friday,False,2017
2017-06-10,20170610,2017,Q2,6,June,2017-06,23,10,Saturday,True,2017
2017-06-11,20170611,2017,Q2,6,June,2017-06,23,11,Sunday,True,2017
2017-06-12,20170612,2017,Q2,6,June,2017-06,24,12,Monday,False,2017
2017-06-13,20170613,2017,Q2,6,June,2017-06,24,13,Tuesday,False,2017
2017-06-14,20170614,2017,Q2,6,June,2017-06,24,14,Wednesday,False,2017
2017-06-15,20170615,2017,Q2,6,June,2017-06,24,15,Thursday,False,2017
2017-06-16,20170616,2017,Q2,6,June,2017-06,24,16,Friday,False,2017
2017-06-17,20170617,2017,Q2,6,June,2017-06,24,17,Saturday,True,2017
2017-06-18,20170618,2017,Q2,6,June,2017-06,24,18,Sunday,True,2017
2017-06-19,20170619,2017,Q2,6,June,2017-06,25,19,Monday,False,2017
2017-06-20,20170620,2017,Q2,6,June,2017-06,25,20,Tuesday,False,2017
2017-06-21,20170621,2017,Q2,6,June,2017-06,25,21,Wednesday,False,2017
2017-06-22,20170622,2017,Q2,6,June,2017-06,25,22,Thursday,False,2017
2017-06-23,20170623,2017,Q2,6,June,2017-06,25,23,Friday,False,2017
2017-06-24,20170624,2017,Q2,6,June,2017-06,25,24,Saturday,True,2017
2017-06-25,20170625,2017,Q2,6,June,2017-06,25,25,Sunday,True,2017
2017-06-26,20170626,2017,Q2,6,June,2017-06,26,26,Monday,False,2017
2017-06-27,20170627,2017,Q2,6,June,2017-06,26,27,Tuesday,False,2017
2017-06-28,20170628,2017,Q2,6,June,2017-06,26,28,Wednesday,False,2017
2017-06-29,20170629,2017,Q2,6,June,2017-06,26,29,Thursday,False,2017
2017-06-30,20170630,2017,Q2,6,June,2017-06,26,30,Friday,False,2017
2017-07-01,20170701,2017,Q3,7,July,2017-07,26,1,Saturday,True,2018
2017-07-02,20170702,2017,Q3,7,July,2017-07,26,2,Sunday,True,2018
2017-07-03,20170703,2017,Q3,7,July,2017-07,27,3,Monday,False,2018
2017-07-04,20170704,2017,Q3,7,July,2017-07,27,4,Tuesday,False,2018
2017-07-05,20170705,2017,Q3,7,July,2017-07,27,5,Wednesday,False,2018
2017-07-06,20170706,2017,Q3,7,July,2017-07,27,6,Thursday,False,2018
2017-07-07,20170707,2017,Q3,7,July,2017-07,27,7,Friday,False,2018
2017-07-08,20170708,2017,Q3,7,July,2017-07,27,8,Saturday,True,2018
2017-07-09,20170709,2017,Q3,7,July,2017-07,27,9,Sunday,True,2018
2017-07-10,20170710,2017,Q3,7,July,2017-07,28,10,Monday,False,2018
2017-07-11,20170711,2017,Q3,7,July,2017-07,28,11,Tuesday,False,2018
2017-07-12,20170712,2017,Q3,7,July,2017-07,28,12,Wednesday,False,2018
2017-07-13,20170713,2017,Q3,7,July,2017-07,28,13,Thursday,False,2018
2017-07-14,20170714,2017,Q3,7,July,2017-07,28,14,Friday,False,2018
2017-07-15,20170715,2017,Q3,7,July,2017-07,28,15,Saturday,True,2018
2017-07-16,20170716,2017,Q3,7,July,2017-07,28,16,Sunday,True,2018
2017-07-17,20170717,2017,Q3,7,July,2017-07,29,17,Monday,False,2018
2017-07-18,20170718,2017,Q3,7,July,2017-07,29,18,Tuesday,False,2018
2017-07-19,20170719,2017,Q3,7,July,2017-07,29,19,Wednesday,False,2018
2017-07-20,20170720,2017,Q3,7,July,2017-07,29,20,Thursday,False,2018
2017-07-21,20170721,2017,Q3,7,July,2017-07,29,21,Friday,False,2018
2017-07-22,20170722,2017,Q3,7,July,2017-07,29,22,Saturday,True,2018
2017-07-23,20170723,2017,Q3,7,July,2017-07,29,23,Sunday,True,2018
2017-07-24,20170724,2017,Q3,7,July,2017-07,30,24,Monday,False,2018
2017-07-25,20170725,2017,Q3,7,July,2017-07,30,25,Tuesday,False,2018
2017-07-26,20170726,2017,Q3,7,July,2017-07,30,26,Wednesday,False,2018
2017-07-27,20170727,2017,Q3,7,July,2017-07,30,27,Thursday,False,2018
2017-07-28,20170728,2017,Q3,7,July,2017-07,30,28,Friday,False,2018
2017-07-29,20170729,2017,Q3,7,July,2017-07,30,29,Saturday,True,2018
2017-07-30,20170730,2017,Q3,7,July,2017-07,30,30,Sunday,True,2018
2017-07-31,20170731,2017,Q3,7,July,2017-07,31,31,Monday,False,2018
2017-08-01,20170801,2017,Q3,8,August,2017-08,31,1,Tuesday,False,2018
2017-08-02,20170802,2017,Q3,8,August,2017-08,31,2,Wednesday,False,2018
2017-08-03,20170803,2017,Q3,8,August,2017-08,31,3,Thursday,False,2018
2017-08-04,20170804,2017,Q3,8,August,2017-08,31,4,Friday,False,2018
2017-08-05,20170805,2017,Q3,8,August,2017-08,31,5,Saturday,True,2018
2017-08-06,20170806,2017,Q3,8,August,2017-08,31,6,Sunday,True,2018
2017-08-07,20170807,2017,Q3,8,August,2017-08,32,7,Monday,False,2018
2017-08-08,20170808,2017,Q3,8,August,2017-08,32,8,Tuesday,False,2018
2017-08-09,20170809,2017,Q3,8,August,2017-08,32,9,Wednesday,False,2018
2017-08-10,20170810,2017,Q3,8,August,2017-08,32,10,Thursday,False,2018
2017-08-11,20170811,2017,Q3,8,August,2017-08,32,11,Friday,False,2018
2017-08-12,20170812,2017,Q3,8,August,2017-08,32,12,Saturday,True,2018
2017-08-13,20170813,2017,Q3,8,August,2017-08,32,13,Sunday,True,2018
2017-08-14,20170814,2017,Q3,8,August,2017-08,33,14,Monday,False,2018
2017-08-15,20170815,2017,Q3,8,August,2017-08,33,15,Tuesday,False,2018
2017-08-16,20170816,2017,Q3,8,August,2017-08,33,16,Wednesday,False,2018
2017-08-17,20170817,2017,Q3,8,August,2017-08,33,17,Thursday,False,2018
2017-08-18,20170818,2017,Q3,8,August,2017-08,33,18,Friday,False,2018
2017-08-19,20170819,2017,Q3,8,August,2017-08,33,19,Saturday,True,2018
2017-08-20,20170820,2017,Q3,8,August,2017-08,33,20,Sunday,True,2018
2017-08-21,20170821,2017,Q3,8,August,2017-08,34,21,Monday,False,2018
2017-08-22,20170822,2017,Q3,8,August,2017-08,34,22,Tuesday,False,2018
2017-08-23,20170823,2017,Q3,8,August,2017-08,34,23,Wednesday,False,2018
2017-08-24,20170824,2017,Q3,8,August,2017-08,34,24,Thursday,False,2018
2017-08-25,20170825,2017,Q3,8,August,2017-08,34,25,Friday,False,2018
2017-08-26,20170826,2017,Q3,8,August,2017-08,34,26,Saturday,True,2018
2017-08-27,20170827,2017,Q3,8,August,2017-08,34,27,Sunday,True,2018
2017-08-28,20170828,2017,Q3,8,August,2017-08,35,28,Monday,False,2018
2017-08-29,20170829,2017,Q3,8,August,2017-08,35,29,Tuesday,False,2018
2017-08-30,20170830,2017,Q3,8,August,2017-08,35,30,Wednesday,False,2018
2017-08-31,20170831,2017,Q3,8,August,2017-08,35,31,Thursday,False,2018
2017-09-01,20170901,2017,Q3,9,September,2017-09,35,1,Friday,False,2018
2017-09-02,20170902,2017,Q3,9,September,2017-09,35,2,Saturday,True,2018
2017-09-03,20170903,2017,Q3,9,September,2017-09,35,3,Sunday,True,2018
2017-09-04,20170904,2017,Q3,9,September,2017-09,36,4,Monday,False,2018
2017-09-05,20170905,2017,Q3,9,September,2017-09,36,5,Tuesday,False,2018
2017-09-06,20170906,2017,Q3,9,September,2017-09,36,6,Wednesday,False,2018
2017-09-07,20170907,2017,Q3,9,September,2017-09,36,7,Thursday,False,2018
2017-09-08,20170908,2017,Q3,9,September,2017-09,36,8,Friday,False,2018
2017-09-09,20170909,2017,Q3,9,September,2017-09,36,9,Saturday,True,2018
2017-09-10,20170910,2017,Q3,9,September,2017-09,36,10,Sunday,True,2018
2017-09-11,20170911,2017,Q3,9,September,2017-09,37,11,Monday,False,2018
2017-09-12,20170912,2017,Q3,9,September,2017-09,37,12,Tuesday,False,2018
2017-09-13,20170913,2017,Q3,9,September,2017-09,37,13,Wednesday,False,2018
2017-09-14,20170914,2017,Q3,9,September,2017-09,37,14,Thursday,False,2018
2017-09-15,20170915,2017,Q3,9,September,2017-09,37,15,Friday,False,2018
2017-09-16,20170916,2017,Q3,9,September,2017-09,37,16,Saturday,True,2018
2017-09-17,20170917,2017,Q3,9,September,2017-09,37,17,Sunday,True,2018
2017-09-18,20170918,2017,Q3,9,September,2017-09,38,18,Monday,False,2018
2017-09-19,20170919,2017,Q3,9,September,2017-09,38,19,Tuesday,False,2018
2017-09-20,20170920,2017,Q3,9,September,2017-09,38,20,Wednesday,False,2018
2017-09-21,20170921,2017,Q3,9,September,2017-09,38,21,Thursday,False,2018
2017-09-22,20170922,2017,Q3,9,September,2017-09,38,22,Friday,False,2018
2017-09-23,20170923,2017,Q3,9,September,2017-09,38,23,Saturday,True,2018
