Description,Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Pathology Expenditure,7/07/2022,11216,Australian Genome Research Facility Ltd,"St Lucia, Qld",No,No,,,,,,,,,1966567,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Event Expenditure,7/07/2022,132919,Gold Coast Convention & Exhibition Centr,"Broadbeach, Qld",No,No,,,,,,,,,367677,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,7/07/2022,327800,Integral Technology Solutions Pty Ltd,"Spring Hill, Qld",No,No,,,,,,,,,367692,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,7/07/2022,18600,Rachael Maree Mcdermott,Nsw,No,No,,,,,,,,,367689,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Marketing Fees,7/07/2022,25000,Raci National Congress 2022,"Hamilton Central, Qld",No,No,,,,,,,,,1967389,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,7/07/2022,266283,Resource 23 Pty Ltd,"Melbourne, Vic",Yes,No,,,,,,,,,367693 374053,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,7/07/2022,166925,Resource 23 Pty Ltd,"Melbourne, Vic",Yes,No,,,,,,,,,367694 374054,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Translating/Proofing,7/07/2022,15898,Spruson & Ferguson Pty Limited,"Sydney, Nsw",No,No,,,,,,,,,1964287,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Health & Safety Expenses,7/07/2022,23671,Truhealth Solutions,"Beenleigh, Qld",No,No,,,,,,,,,1964938,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Recruitment/Placement Fees,7/07/2022,350600,U&U Recruitment Partners,"Brisbane, Qld",Yes,No,,,,,,,,,367700,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Memberships/Subscriptions,7/07/2022,26083,University Admissions Centre (Nsw & Act),"Silverwater, Nsw",No,No,,,,,,,,,1967393,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Recruitment/Placement Fees,7/07/2022,350600,U&U Recruitment Partners,"Brisbane, Qld",Yes,No,,,,,,,,,367700,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Memberships/Subscriptions,7/07/2022,26083,University Admissions Centre (Nsw & Act),"Silverwater, Nsw",No,No,,,,,,,,,1967393,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,8/07/2022,20686,A1 Building & Property Solutions Pty Ltd,"The Gap, Qld",No,No,,,,,,,,,367721,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,8/07/2022,12832,Amalgamated Property Maint. Brisbane P/L,"Rochedale South, Qld",No,No,,,,,,,,,367720,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Equipment Maintenance,8/07/2022,17945,Bruker Pty Ltd,"Alexandria, Nsw",No,No,,,,,,,,,367716,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,8/07/2022,80201,Qcif,"St Lucia, Qld",No,No,,,,,,,,,367717,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Subscription/Licence Fees,8/07/2022,10750,Qualtrics Llc,"Provo, Ut, Usa",No,No,,,,,,,,,367724,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Marketing Fees,8/07/2022,18700,Richmond Signs & Designs,"Southport, Qld",No,No,,,,,,,,,367739,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Event Expenditure,8/07/2022,10238,Southport Australian Rules Football Club,"Southport, Qld",No,No,,,,,,,,,367718,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Telecommunications Expenditure,9/07/2022,274000,Telstra Limited,"Melbourne, Vic",Yes,No,,,,,,,,,GU-958,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,11/07/2022,17530,A1 Building & Property Solutions Pty Ltd,"The Gap, Qld",No,No,,,,,,,,,367781,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,11/07/2022,38500,Better Workplaces Consulting & Advisory,"Bulimba, QLD",No,No,,,,,,,,,367780,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Marketing Fees,11/07/2022,60500,Queensland Tertiary Admissions Centre Lt,"Milton, Qld",No,No,,,,,,,,,367811,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,12/07/2022,10221,A1 Building & Property Solutions Pty Ltd,"The Gap, Qld",No,No,,,,,,,,,367837,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Telecommunications Expenditure,12/07/2022,60871,Data #3 Limited,"Indooroopilly, Qld",No,No,,,,,,,,,367831,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,12/07/2022,343750,Randstad Pty Limited,"Sydney, Nsw",No,No,,,,,,,,,367862,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Chemical/Biological Products,13/07/2022,12760,Additive Australia Pty Ltd,"Torquay, Vic",No,No,,,,,,,,,367886,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Software Support Maintenance,13/07/2022,10563,Agilent Technologies Australia Pty Ltd,"Mulgrave, Vic",No,No,,,,,,,,,367893,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Pathology Expenditure,13/07/2022,20906,Australian Genome Research Facility Ltd,"St Lucia, Qld",No,No,,,,,,,,,367883,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Computer Equipment,13/07/2022,263882,Flexdata Solutions Pty Ltd,"Brisbane, Qld",No,No,,,,,,,,,367884,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Event Expenditure,13/07/2022,27500,Pullman Brisbane King George Sqaure,"Brisbane, Qld",No,No,,,,,,,,,367892,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Equipment Maintenance,13/07/2022,20158,Tecniplast Australia Pty Limited,"Lane Cove, NSW",No,No,,,,,,,,,367929,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Event Expenditure,13/07/2022,36369,Vientiane Investment And Development Co.,"Vientiane, Vi",No,No,,,,,,,,,367888,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Event Expenditure,13/07/2022,36369,Vientiane Investment And Development Co.,"Vientiane, Vi",No,No,,,,,,,,,367888,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Computer Equipment,14/07/2022,10347,Allied Technologies Australia Pty Ltd,"Newstead, Qld",No,No,,,,,,,,,367980,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,14/07/2022,14850,Archipelago,"City East, Qld",No,No,,,,,,,,,367949,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,14/07/2022,91907,Arnold Electrical & Data Installations P,"Salisbury, Qld",No,No,,,,,,,,,367978,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Legal Fees,14/07/2022,275000,Ashurst Australia,"Brisbane, Qld",No,No,,,,,,,,,367946,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,14/07/2022,90314,Emtek Furniture,"Deception Bay, Qld",No,No,,,,,,,,,367950,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Scientific Equipment,14/07/2022,31020,Henry Schein Regional Trust,"South Brisbane, Qld",No,No,,,,,,,,,367955,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Scientific Equipment,14/07/2022,56319,Impulsedent Australia,"Buccan, Qld",No,No,,,,,,,,,367956,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,14/07/2022,18659,Judyth Margaret Sachs,Nsw,No,No,,,,,,,,,1966494,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Student Certification,14/07/2022,15525,Ot Council (Aus & Nz)  Ltd,"South Perth, Wa",No,No,,,,,,,,,1968035,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Musical Instruments,14/07/2022,14900,Ozwinds Brisbane,"Greenslopes, Qld",No,No,,,,,,,,,367971,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,14/07/2022,41844,Pitch Black Engineering,"Brisbane, Qld",No,No,,,,,,,,,367977,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Audio Visual Equipment,14/07/2022,20727,Proav Solutions Queensland,"Toowong, Qld",No,No,,,,,,,,,367959,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",External Course Delivery,14/07/2022,12121,Rodney William Carter,Qld,No,No,,,,,,,,,1968122,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Marketing Fees,14/07/2022,16232,Seek Limited,"Sydney, Nsw",No,No,,,,,,,,,1967892,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,14/07/2022,187695,Social Enterprise Australia Ltd,New South Wales,No,No,,,,,,,,,367968,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Telecommunications Expenditure,14/07/2022,240000,Tpg Network Pty Ltd,"Sydney, NSW",No,No,,,,,,,,,C01116,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Recruitment/Placement Fees,14/07/2022,14549,Troocoo Pty Ltd,"Brisbane, Qld",No,No,,,,,,,,,1964846,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Recruitment/Placement Fees,14/07/2022,13709,U&U Recruitment Partners,"Brisbane, Qld",No,No,,,,,,,,,1965375,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Recruitment/Placement Fees,14/07/2022,13709,U&U Re+G41cruitment Partners,"Brisbane, Qld",No,No,,,,,,,,,1965375,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Event Expenditure,15/07/2022,30295,Cbd Golf Pty Ltd,"Herston, Qld",No,No,,,,,,,,,28225,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,15/07/2022,21450,Civas (Qld) Pty Ltd,"Sydney, Nsw",No,No,,,,,,,,,368022,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Memberships/Subscriptions,15/07/2022,80300,Council Of Pharmacy Register Authorities,"Civic Square, Act",No,No,,,,,,,,,368025,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Audio Visual Equipment,15/07/2022,13869,Frontier Labs Pty Ltd,"Salisbury, Qld",No,No,,,,,,,,,368029,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Recruitment/Placement Fees,15/07/2022,10157,Optimum Recruitment Group (Qld) Pty Ltd,"Brisbane, Qld",No,No,,,,,,,,,368026,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Scientific Equipment,15/07/2022,12409,Xylem Water Solutions Australia Ltd,"Mansfield, Qld",No,No,,,,,,,,,368028,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Scientific Equipment,15/07/2022,12409,Xylem Water Solutions Australia Ltd,"Mansfield, Qld",No,No,,,,,,,,,368028,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,18/07/2022,158400,Decipher Bureau Qld Pty Ltd,"Bowen Hills, Qld",No,No,,,,,,,,,368055,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,18/07/2022,365038,Deloitte Consulting Pty Limited,"Brisbane, Qld",No,No,,,,,,,,,368078,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,18/07/2022,16452,Five And Dime,"Wellington, New Zealand",No,No,,,,,,,,,368094,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Relocation Services,18/07/2022,11786,Grace Worldwide (Australia) Pty Ltd,"Seven Hills, Nsw",No,No,,,,,,,,,368053,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,18/07/2022,69047,Hills Fencing Pty Ltd,"Slacks Creek, Qld",No,No,,,,,,,,,368056,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Health & Safety Expenses,18/07/2022,114400,Lifeline Direct Limited,"Warrnambool,VIC",No,No,,,,,,,,,368057,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Marketing Fees,18/07/2022,15197,Richmond Signs & Designs,"Southport, Qld",No,No,,,,,,,,,368091,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Event Expenditure,18/07/2022,67414,Valiant Hire,"Pinkenba, Qld",No,No,,,,,,,,,368075,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Event Expenditure,18/07/2022,67414,Valiant Hire,"Pinkenba, Qld",No,No,,,,,,,,,368075,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,19/07/2022,11000,Dri-Lec Pty Ltd,"EIGHT MILE PLAINS, QLD",No,No,,,,,,,,,368120,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Vehicle Acquisition,19/07/2022,82450,Specialised & Emergency Vehicles Austral,"Brendale, Qld",No,No,,,,,,,,,368122,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Audio Visual Equipment,19/07/2022,20189,Videopro Pty Ltd,"Eagle Farm, Qld",No,No,,,,,,,,,368118,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Audio Visual Equipment,19/07/2022,20189,Videopro Pty Ltd,"Eagle Farm, Qld",No,No,,,,,,,,,368118,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Software Support Maintenance,20/07/2022,20106,Data #3 Limited,"Indooroopilly, Qld",No,No,,,,,,,,,368152,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,20/07/2022,25000,Ella Arensman,United Kingdom,No,No,,,,,,,,,368169,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,20/07/2022,141075,Huie Consulting Pty Ltd,"Buddina, QLD",No,No,,,,,,,,,368147,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Subscription/Licence Fees,20/07/2022,11385,Logemas Pty Ltd,"Albion, Qld",No,No,,,,,,,,,368148,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,21/07/2022,45617,A1 Building & Property Solutions Pty Ltd,"The Gap, Qld",No,No,,,,,,,,,368204,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,21/07/2022,80850,Aus Building-Performance Pty Ltd,"Manly, QLD",No,No,,,,,,,,,368201,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,21/07/2022,32417,Aus Building-Performance Pty Ltd,"Manly, QLD",No,No,,,,,,,,,368202,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Student Certification,21/07/2022,11660,Australian Nursing Council Inc,"Canberra, Act",No,No,,,,,,,,,1969430,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",External Course Delivery,21/07/2022,26870,Community Power Agency Co-Operative Limi,"Chippendale, Nsw",No,No,,,,,,,,,1967676,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Printing Expenses,21/07/2022,22815,Cpx Pty Ltd,"Kelvin Grove, Qld",No,No,,,,,,,,,1967039,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,21/07/2022,20460,Ev Up Pty Ltd,"Clayton South, Vic",No,No,,,,,,,,,368203,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Travel Expenses,21/07/2022,21668,Humanitarian Affairs Asia,"Bangkok, Thailand",No,No,,,,,,,,,368193,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Memberships/Subscriptions,21/07/2022,16335,Institute Of Managers And Leaders Ltd,"Brisbane, Qld",No,No,,,,,,,,,1967035,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,21/07/2022,27779,Kpmg Forensic Pty Ltd,"Brisbane, Qld",No,No,,,,,,,,,1969006,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Marketing Fees,21/07/2022,27500,Major Brisbane Festivals Pty Ltd,"South Brisbane, Qld",No,No,,,,,,,,,1969425,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Subscription/Licence Fees,21/07/2022,578821,Ping Identity Corporation,"Denver, Co, Usa",No,No,Selective,,,,,,,,368192,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,21/07/2022,41850,Qs Enrolment Solutions (Australia) Pty L,"Melbourne, Vic",No,No,,,,,,,,,1969061,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,21/07/2022,17787,Simple Click Pty Ltd,"Arundel, Qld",No,No,,,,,,,,,1969434,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Relocation Services,21/07/2022,30430,Sirva Relocation,"Richlands, Qld",No,No,,,,,,,,,1965955,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,21/07/2022,16534,Water Technology Pty Ltd,"Notting Hill, Vic",No,No,,,,,,,,,1969563,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,21/07/2022,16534,Water Technology Pty Ltd,"Notting Hill, Vic",No,No,,,,,,,,,1969563,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Subscription/Licence Fees,22/07/2022,10000,Arcs Australia Ltd,"Crows Nest, Nsw",No,No,,,,,,,,,368244,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Subscription/Licence Fees,22/07/2022,172893,Data #3 Limited,"Indooroopilly, Qld",No,No,,,,,,,,,368246,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,22/07/2022,72568,Integrated Fibre Solutions Pty Ltd,"Corinda, Qld",No,No,,,,,,,,,368242,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,22/07/2022,21153,Lightbox Architecture &Interiors Pty Ltd,"Keperra, Qld",No,No,,,,,,,,,368271,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,25/07/2022,237500,A1 Building & Property Solutions Pty Ltd,"The Gap, Qld",No,No,,,,,,,,,368340,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,25/07/2022,11000,Arina Consulting Architects,"Crows Nest, Nsw",No,No,,,,,,,,,368342,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Subscription/Licence Fees,25/07/2022,36825,Refinitiv Australia Pty Limited,"Sydney, Nsw",No,No,,,,,,,,,368304,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Chemical/Biological Products,26/07/2022,11317,Abcam Australia Pty Ltd,"Melbourne, Vic",No,No,,,,,,,,,368382,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Document Storage Fees,26/07/2022,14697,Iron Mountain Australia Group Pty Ltd,"Virginia, Qld",No,No,,,,,,,,,368358,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Scientific Equipment,26/07/2022,16760,Newlight Photonics Inc,"Toronto, On, M3J 2T2",No,No,,,,,,,,,368357,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Subscription/Licence Fees,27/07/2022,26092,Datacom Systems (Au) Pty Ltd,"North Ryde, Nsw",No,No,,,,,,,,,368409,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Relocation Services,27/07/2022,17660,Grace Worldwide (Australia) Pty Ltd,"Seven Hills, Nsw",No,No,,,,,,,,,368402,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Subscription/Licence Fees,27/07/2022,84946,Higher Ed Services Pty Ltd,"Sydney, Nsw",No,No,,,,,,,,,368407,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,28/07/2022,767250,Adec Australia,"Mascot, Nsw",No,No,Limited,,,,,,,,368448,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Software,28/07/2022,23195,Allstars Trading Pty Ltd T/A Zirilio,"Sydney, Nsw",No,No,,,,,,,,,1969910,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Pathology Expenditure,28/07/2022,12997,Australian Genome Research Facility Ltd,"St Lucia, Qld",No,No,,,,,,,,,1970220,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Memberships/Subscriptions,28/07/2022,12000,Cooperative Research Centres Association,"Barton, Act",No,No,,,,,,,,,1969920,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Subscription/Licence Fees,28/07/2022,55000,Idp Education Pty Ltd,"Melbourne, Vic",No,No,,,,,,,,,368453,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,28/07/2022,22275,Mcnair Yellowsquares Pty Ltd,"Crows Nest, Nsw",No,No,,,,,,,,,1968210 2013492,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Equipment Maintenance,28/07/2022,11696,Merck Pty Ltd,"Bayswater, Vic",No,No,,,,,,,,,368471,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Legal Fees,28/07/2022,63800,Minter Ellison Lawyers,"Brisbane, Qld",No,No,,,,,,,,,368446,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Subscription/Licence Fees,28/07/2022,24522,Monotype Limited,"London, UK",No,No,,,,,,,,,368450,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Commission Payment,28/07/2022,1452138,Open Universities Australia,"Melbourne, Vic",No,No,Limited,b - (iii) The absence of competition for technical reasons which can only be supplied by a particular supplier and no reasonable alternative exists,,,,,,,1970440,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Building Construction & Maintenance,29/07/2022,21890,Building Services Integration Pty Ltd,"Underwood, Qld",No,No,,,,,,,,,368510,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,29/07/2022,10450,Jasmine Pang,Qld,No,No,,,,,,,,,368501,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,29/07/2022,57200,P2E Pty. Ltd.,"Brisbane, Qld",No,No,,,,,,,,,368492,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Subscription/Licence Fees,29/07/2022,213725,Seattle Software Australia Pty Ltd,"Sydney, Nsw",No,No,,,,,,,,,368495,,,,,,
,Griffith University,"170 Kessels Road, Nathan, Qld 4111",Consultancy Services,29/07/2022,16928,Xzibit Pty Ltd,"Luscombe, Qld",No,No,,,,,,,,,368499,,,,,,
