Description,Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,3/07/2024,113365,Bio-Strategy Pty Limited,"Campbell field, Vic",No,,,,,,,,,,391097,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,3/07/2024,96500,Eppendorf South Pacific Pty Ltd,"North Ryde, Nsw",No,,,,,,,,,,391096,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,3/07/2024,20796,Insight Enterprises Australia Pty Ltd,"Brookvale, Nsw",No,,,,,,,,,,391098,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/Licence Fees Software,3/07/2024,2528717,"Sailpoint Technologies, Inc.",Usa,No,,Open,,,,,,,,391104,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,3/07/2024,16533,Xylem Water Solutions Australia Ltd,"Mansfield, Qld",No,,,,,,,,,,391103,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Laboratory Consumables,4/07/2024,20240,Bio-Strategy Pty Limited,"Campbell field, Vic",No,,,,,,,,,,391113,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,4/07/2024,95909,Brightside Scientific Pty Ltd,"Tuggerah, Nsw",No,,,,,,,,,,391110,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Cleaning Services,4/07/2024,33000,Crown Waste Solutions,"Helensvale Town Centre, Qld",No,,,,,,,,,,391142,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,4/07/2024,12551,Drains Kleen Pty Ltd,"Kunda Park, Qld",No,,,,,,,,,,391153,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,4/07/2024,42575,"Sailpoint Technologies, Inc.",Usa,No,,,,,,,,,,391140,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Marketing Fees,4/07/2024,10841,Tom Alistair Macdonald,Qld,No,,,,,,,,,,391154,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,4/07/2024,16399,Uipath Srl,Romania,No,,,,,,,,,,391165,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment Purchase,4/07/2024,17271,Vialux Messtechnik + Bildverarbeitung Gm,Germany,No,,,,,,,,,,391109,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,5/07/2024,309870,Criticalarc Pty Limited,"Sutherland, Nsw",No,,,,,,,,,,391170,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,8/07/2024,19812,Amalgamated Property Maint. Brisbane P/L,"Rochedale South, Qld",No,,,,,,,,,,391201,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Furniture,8/07/2024,19946,Incorporate Space,"Sunnybank, Qld",No,,,,,,,,,,391230,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment Maintenance,8/07/2024,10905,Miltenyi Biotec Australia Pty Ltd,"North Ryde, Nsw",No,,,,,,,,,,391198,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Telecommunications Expenditure,8/07/2024,113702,Qs Unisolution Gmbh,Germany,No,,,,,,,,,,391203,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Marketing Fees,8/07/2024,21600,Queensland Tertiary Admissions Centre Lt,"Milton, Qld",No,,,,,,,,,,391222,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Chemical/Biological Products,8/07/2024,11953,Scientifix Pty Ltd,"Clayton, Vic",No,,,,,,,,,,391225,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Recruitment Services,8/07/2024,44000,Seek Limited,"Sydney, Nsw",No,,,,,,,,,,391199,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/Licence Fees Software,9/07/2024,12823,Cch Australia Ltd,"Sydney, Nsw",No,,,,,,,,,,2079840,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,9/07/2024,11990,Chilton Woodward & Associates,"Albion Bc, Qld",No,,,,,,,,,,391238,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,9/07/2024,53717,E.D.C. Systems Pty Ltd,"Cannon Hill, Qld",No,,,,,,,,,,391243,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Reference Materials,9/07/2024,22413,Igi Global,Usa,No,,,,,,,,,,2078893,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/Licence Fees Software,9/07/2024,35200,Intelligent Business Research Services P,"Hazlebrook, Nsw",No,,,,,,,,,,391263,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,9/07/2024,42350,Kathryn Margeret Sinclair,Vic,No,,,,,,,,,,391239,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,9/07/2024,11144,Miltenyi Biotec Australia Pty Ltd,"North Ryde, Nsw",No,,,,,,,,,,391236,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Reference Materials,9/07/2024,13496,Proquest Llc,Usa,No,,,,,,,,,,2080784,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Reference Materials,9/07/2024,18868,Springer Nature Bv,Germany,No,,,,,,,,,,2081634,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,9/07/2024,70000,University Of Canberra,"Belconnen, Act",No,,,,,,,,,,2079919,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,10/07/2024,90075,Archer Technologies Ireland Limited,Ireland,No,,,,,,,,,,391295,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/Licence Fees Software,10/07/2024,29000,Class Technologies Inc,Usa,No,,,,,,,,,,391296,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,11/07/2024,237683,Aspect Studios Pty Ltd,"Woolloongabba, Qld",No,,,,,,,,,,391334,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Legal Fees,11/07/2024,27500,Hwl Ebsworth Lawyers,"Brisbane, Qld",No,,,,,,,,,,391332,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,11/07/2024,65404,Main Constructions Pty Ltd,"Loganholme, Qld",Yes,,,,,,,,,,392382,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Audio Visual Equipment,11/07/2024,122999,Videopro Pty Ltd,"Eagle Farm, Qld",No,,,,,,,,,,391333,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,12/07/2024,21533,A.G. Coombs Advisory Pty Ltd,"Moorabbin, Vic",No,,,,,,,,,,391389,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,12/07/2024,13500,Carolina Navarro Medel,Chile,No,,,,,,,,,,391372,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Printing Expenses,12/07/2024,143790,Cpx Pty Ltd,"Kelvin Grove Bc, Qld",No,,,,,,,,,,391366,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,12/07/2024,14300,Dri-Lec Pty Ltd,"Eight Mile Plains, Qld",No,,,,,,,,,,391381,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Subscription/Licence Fees Software,12/07/2024,11734,Logemas Pty Ltd,"Albion, Qld",No,,,,,,,,,,391364,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,12/07/2024,44660,Mctaggart Plumbing Pty Ltd,"Petrie, Qld",No,,,,,,,,,,391391,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Audio Visual Equipment,13/07/2024,21945,Luminous A/V & Electrical Pty Ltd,"Toowong, Qld",No,,,,,,,,,,391399,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Office Equipment,13/07/2024,16896,Programmed Electrical Technologies Ltd,"Newstead, Qld",No,,,,,,,,,,391396,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Office Equipment,13/07/2024,16494,Programmed Electrical Technologies Ltd,"Newstead, Qld",No,,,,,,,,,,391397,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment Purchase,13/07/2024,34007,Thunder Laser Australia,"Mountain Creek, Qld",No,,,,,,,,,,391402,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,14/07/2024,29473,Sonia Hugh,Canada,No,,,,,,,,,,391403,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,15/07/2024,13200,Hatzis Family Trust,Qld,No,,,,,,,,,,391425 392435,,,,,,
,Griffith University,"170 Kessels Road, Nathan QLD 4111",Consultancy Services,15/07/2024,440508,Syntro Health,"Richmond, Vic",No,,,,,,,,,,400562,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,15/07/2024,38500,Water Technology Pty Ltd,"Notting Hill, Vic",No,,,,,,,,,,2105184 2095527 2105623,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Printing Expenses,16/07/2024,51817,Cpx Pty Ltd,"Kelvin Grove Bc, Qld",No,,,,,,,,,,2083181,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,16/07/2024,14724,E.D.C. Systems Pty Ltd,"Cannon Hill, Qld",No,,,,,,,,,,391454,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,16/07/2024,15362,Elemental Shade Structures,"Meadowbrook, Qld",No,,,,,,,,,,391452,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Reference Materials,16/07/2024,30000,Kanopy,Usa,No,,,,,,,,,,2078882,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Commission Payment,16/07/2024,4793224,Open Universities Australia,"Melbourne, Vic",No,,Limited,b - (iii) The absence of competition for technical reasons which can only be supplied by a particular supplier and no reasonable alternative exists,,,,,,,2082662 2093847 2103000,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,16/07/2024,18366,Programmed Electrical Technologies Ltd,"Newstead, Qld",No,,,,,,,,,,391455,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,16/07/2024,174420,Sydney Ear Nose & Throat Clinic Pty Ltd,"Darlinghurst, Nsw",No,,,,,,,,,,2082766,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,17/07/2024,35530,Audio Systems Logic Pty Ltd,"Fortitude Valley, Qld",No,,,,,,,,,,391488,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment Maintenance,17/07/2024,10885,Beckman Coulter Australia P/L,"Lane Cove, Nsw",No,,,,,,,,,,391490,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,17/07/2024,16500,Moore Health Physiotherapy And Sports In,"Redfern, Nsw",No,,,,,,,,,,392675 391487,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,17/07/2024,16125,The Trustee For Aline Group Australasia,"Engadine, Nsw",No,,,,,,,,,,391497,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,18/07/2024,124850,A.G. Coombs Advisory Pty Ltd,"Moorabbin, Vic",No,,,,,,,,,,391514 392605,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,18/07/2024,58707,Amalgamated Property Maint. Brisbane P/L,"Rochedale South, Qld",No,,,,,,,,,,391519,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,18/07/2024,24750,Arbor Australis Consulting,"Sherwood, Qld",No,,,,,,,,,,391540,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment Purchase,18/07/2024,135355,Freedspace Pty Ltd,"Footscray, Vic",No,,,,,,,,,,391549,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,18/07/2024,107250,Jds Australia Pty Ltd,"Melbourne, Vic",No,,,,,,,,,,391537,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Chemical/Biological Products,18/07/2024,28515,Oxford Nanopore Technologies Australia P,Uk,No,,,,,,,,,,391556,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,18/07/2024,18321,Pothole People Qld,"Hemmant, Qld",No,,,,,,,,,,391538,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Laboratory Consumables,19/07/2024,10436,Agilent Technologies Australia Pty Ltd,"Mulgrave, Vic",No,,,,,,,,,,391579,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,19/07/2024,20763,Inspections X-Ray & Testing Pty Ltd,"Tingalpa, Qld",No,,,,,,,,,,391588,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment Purchase,22/07/2024,60481,Hyperion Systems Pty Ltd,"O'Connor, Act",No,,,,,,,,,,391605,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,22/07/2024,51084,Mctaggart Plumbing Pty Ltd,"Petrie, Qld",No,,,,,,,,,,391629,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Support Maintenance,22/07/2024,62500,Netapp Capital Solutions,"Melbourne, Vic",No,,,,,,,,,,391602,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Computer Equipment,22/07/2024,129194,The School Locker,"Eight Mile Plains, Qld",No,,,,,,,,,,391603,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Telecommunications Expenditure,23/07/2024,187301,Aarnet,"Canberra, Act",No,,,,,,,,,,2084216,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Pathology Expenditure,23/07/2024,45046,Aust Nuclear Science & Tech Org -Ansto,"Kirrawee Dc, Nsw",No,,,,,,,,,,391644,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Laboratory Consumables,23/07/2024,36088,Beckman Coulter Australia P/L,"Lane Cove, Nsw",No,,,,,,,,,,391645,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,23/07/2024,12012,Equifax Australasia Credit Ratings Pty L,"North Sydney, Nsw",No,,,,,,,,,,2081641,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,23/07/2024,12012,Equifax Australasia Credit Ratings Pty L,"North Sydney, Nsw",No,,,,,,,,,,2081642,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,23/07/2024,40861,Oper8 Global Pty Ltd,"Springfield Central, Qld",No,,,,,,,,,,391657,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,23/07/2024,26796,Outside Opinion Pty Ltd,"Carlton North, Vic",No,,,,,,,,,,391639,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Relocation Services,23/07/2024,484334,Qs Enrolment Solutions (Australia) Pty L,"Melbourne, Vic",No,,,,,,,,,,2082660,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Memberships/Subscriptions,23/07/2024,14196,Research Australia,"Darlinghurst, Nsw",No,,,,,,,,,,2082682,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,24/07/2024,77876,La Trobe University,"Bundoora, Vic",No,,,,,,,,,,391667,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Support Maintenance,24/07/2024,106312,The Trustee For The Van Dyk Family Trust,"East Brisbane, Qld",No,,,,,,,,,,391676,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,25/07/2024,178786,Descab Pty Ltd T/A Qld Multi Trades,"Tingalpa, Qld",No,,,,,,,,,,391700,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Legal Fees,25/07/2024,16500,Mccullough Robertson Lawyers,"Brisbane, Qld",No,,,,,,,,,,391692,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment Maintenance,25/07/2024,12969,Peak Scientific Instruments,"Port Melbourne, Vic",No,,,,,,,,,,391707,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Memberships/Subscriptions,25/07/2024,38647,"Sage Publications, Ltd.",Uk,No,,,,,,,,,,391691,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,25/07/2024,187795,The Trustee For Fireland Consultancy,"Toombul, Qld",No,,,,,,,,,,391699,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,26/07/2024,50666,Aus Building-Performance Pty Ltd,"Manly, Qld",No,,,,,,,,,,391733,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Hire/Lease Fees,26/07/2024,148500,Gold Coast Convention & Exhibition Centr,"Broadbeach, Qld",No,,,,,,,,,,391718,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,29/07/2024,11165,Aus Building-Performance Pty Ltd,"Manly, Qld",No,,,,,,,,,,391743,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,29/07/2024,14091,Aus Building-Performance Pty Ltd,"Manly, Qld",No,,,,,,,,,,391744,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,29/07/2024,14991,John Barnes & Co (Qld) Pty Ltd,"Salisbury, Qld",No,,,,,,,,,,391748,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Support Maintenance,29/07/2024,317862,The Trustee For The Van Dyk Family Trust,"East Brisbane, Qld",No,,,,,,,,,,391764,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,30/07/2024,47009,Aus Building-Performance Pty Ltd,"Manly, Qld",No,,,,,,,,,,391814,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Hire/Lease Fees,30/07/2024,13112,Corporate Stage Solutions,"Coorparoo Bc, Qld",No,,,,,,,,,,2083819,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,30/07/2024,321567,Gold Coast City Council,"Gold Coast Mail Centre, Qld",No,,,,,,,,,,391815,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,30/07/2024,23739,Prolific Academic Ltd,Uk,No,,,,,,,,,,2082705,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Chemical/Biological Products,30/07/2024,17354,Scientifix Pty Ltd,"Clayton, Vic",No,,,,,,,,,,391818,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,30/07/2024,22000,Silvertech Pty Ltd,"Graceville, Qld",No,,,,,,,,,,2083234,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Memberships/Subscriptions,30/07/2024,56296,University Admissions Centre (Nsw & Act),"Silverwater, Nsw",No,,,,,,,,,,2083165 2111746,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,30/07/2024,18208,Yourbusinesschannel Limited,New Zealand,No,,,,,,,,,,2085336,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Printing Expenses,31/07/2024,11143,Cpx Pty Ltd,"Kelvin Grove Bc, Qld",No,,,,,,,,,,391839,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,31/07/2024,33000,Indigenous Technology Pty Ltd,"Sydney, Nsw",No,,,,,,,,,,2087410 2115282 2168539,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,31/07/2024,106000,Pacific Pro-Link Service,Hong Kong,No,,,,,,,,,,391840,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Computer Equipment,31/07/2024,29968,The School Locker,"Eight Mile Plains, Qld",No,,,,,,,,,,391862,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Scientific Equipment,31/07/2024,13697,Waikato Scientific Limited,New Zealand,No,,,,,,,,,,391841,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,1/08/2024,10725,Hatzis Family Trust,Qld,No,,,,,,,,,,391897,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Laboratory Consumables,1/08/2024,13965,Thermo Fisher Scientific Australia,"Scoresby, Nsw",No,,,,,,,,,,391884,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,2/08/2024,26950,A Noble Event Australia,"Eight Mile Plains, Qld",No,,,,,,,,,,391931,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,2/08/2024,20768,Airelec Electrical Services Pty Ltd,"Elanora, Qld",No,,,,,,,,,,391950,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,2/08/2024,56430,Building Certifiers Australia Pty Ltd,"Caloundra, Qld",No,,,,,,,,,,391957,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,2/08/2024,20116,Emily Denne,Usa,No,,,,,,,,,,391933,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Support Maintenance,2/08/2024,55000,Orikan New Zealand Limited,New Zealand,No,,,,,,,,,,391934,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,2/08/2024,42706,Scuba Group Pty Ltd,"Alexandra Hills, Qld",No,,,,,,,,,,391948,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,3/08/2024,13178,Hatzis Family Trust,Qld,No,,,,,,,,,,391970,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,3/08/2024,14685,Hatzis Family Trust,Qld,No,,,,,,,,,,391971,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Equipment Purchase,5/08/2024,101415,Abb Australia Pty Limited,"Liverpool Bc, Nsw",No,,,,,,,,,,391999,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Event Expenditure,5/08/2024,35200,Empire Holdings (Qld) Pty. Ltd.,"Fortitude Valley, Qld",No,,,,,,,,,,392009,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,5/08/2024,23578,Froth Build Pty Ltd,"Palm Beach, Qld",No,,,,,,,,,,392018,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,5/08/2024,30000,Jennifer Anne Wilson,Qld,No,,,,,,,,,,392010,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,5/08/2024,21890,Jha Consulting Engineers (Qld) Pty Ltd,"Teneriffe, Qld",No,,,,,,,,,,391997,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Computer Equipment,5/08/2024,12177,Label Power Pty. Ltd.,"Archerfield Bc, Qld",No,,,,,,,,,,391983,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Event Expenditure,5/08/2024,22000,The Island Hotel,"Surfers Paradise, Qld",No,,,,,,,,,,392013,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,5/08/2024,13200,Turner & Townsend Project Management Pty,"Brisbane City, Qld",No,,,,,,,,,,391998,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Building Construction & Maintenance,6/08/2024,31565,Ds Energy,"Northgate, Qld",No,,,,,,,,,,392058,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Reference Materials,6/08/2024,10991,Ebsco International Inc,"North Sydney, Nsw",No,,,,,,,,,,2084802,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,6/08/2024,10637,Hatzis Family Trust,Qld,No,,,,,,,,,,392030,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Consultancy Services,6/08/2024,30800,It Newcom Pty Limited,"Brisbane City, Qld",No,,,,,,,,,,392057,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Software Support Maintenance,6/08/2024,64222,Lennox Computer,"Banyo, Qld",No,,,,,,,,,,2086629 2105376 2113832,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Field Trip Expenses (Excursions),6/08/2024,37503,Mika Rizki Puspaningrum,Indonesia,No,,,,,,,,,,2086074 2087367,,,,,,
,Griffith University,"170 Kessels Road, Nathan Qld 4111",Marketing Fees,6/08/2024,19887,Richmond Signs & Designs,"Southport, Qld",No,,,,,,,,,,2086015,,,,,,
